GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0051131	chaperone-mediated protein complex assem...	50	36	3.1	< 1e-30
GO:0070370	cellular heat acclimation	36	31	2.23	< 1e-30
GO:0070424	regulation of nucleotide-binding oligome...	36	31	2.23	< 1e-30
GO:0070426	positive regulation of nucleotide-bindin...	36	31	2.23	< 1e-30
GO:0070432	regulation of nucleotide-binding oligome...	36	31	2.23	< 1e-30
GO:0070434	positive regulation of nucleotide-bindin...	36	31	2.23	< 1e-30
GO:1902380	positive regulation of endoribonuclease ...	36	31	2.23	< 1e-30
GO:1903265	positive regulation of tumor necrosis fa...	36	31	2.23	< 1e-30
GO:0090063	positive regulation of microtubule nucle...	37	31	2.29	< 1e-30
GO:0010803	regulation of tumor necrosis factor-medi...	40	32	2.48	< 1e-30
GO:0090084	negative regulation of inclusion body as...	40	32	2.48	< 1e-30
GO:0010968	regulation of microtubule nucleation	38	31	2.35	< 1e-30
GO:1901029	negative regulation of mitochondrial out...	38	31	2.35	< 1e-30
GO:0097201	negative regulation of transcription fro...	41	32	2.54	< 1e-30
GO:1903955	positive regulation of protein targeting...	34	29	2.11	< 1e-30
GO:1901028	regulation of mitochondrial outer membra...	40	31	2.48	1.2e-30
GO:1902686	mitochondrial outer membrane permeabiliz...	43	32	2.66	1.2e-30
GO:0031112	positive regulation of microtubule polym...	53	35	3.28	1.6e-30
GO:0031116	positive regulation of microtubule polym...	53	35	3.28	1.6e-30
GO:0010286	heat acclimation	50	34	3.1	2.5e-30
GO:1903749	positive regulation of establishment of ...	35	29	2.17	2.6e-30
GO:0072594	establishment of protein localization to...	517	102	32.01	4.2e-30
GO:0090083	regulation of inclusion body assembly	44	32	2.72	4.3e-30
GO:0060699	regulation of endoribonuclease activity	41	31	2.54	4.6e-30
GO:0032075	positive regulation of nuclease activity	55	35	3.41	1.1e-29
GO:1902108	regulation of mitochondrial membrane per...	45	32	2.79	1.4e-29
GO:0031113	regulation of microtubule polymerization	71	39	4.4	1.6e-29
GO:0001961	positive regulation of cytokine-mediated...	42	31	2.6	1.7e-29
GO:0007020	microtubule nucleation	42	31	2.6	1.7e-29
GO:0060700	regulation of ribonuclease activity	42	31	2.6	1.7e-29
GO:0097345	mitochondrial outer membrane permeabiliz...	42	31	2.6	1.7e-29
GO:1902110	positive regulation of mitochondrial mem...	42	31	2.6	1.7e-29
GO:1901673	regulation of mitotic spindle assembly	43	31	2.66	5.6e-29
GO:0035872	nucleotide-binding domain, leucine rich ...	47	32	2.91	1.3e-28
GO:0070423	nucleotide-binding oligomerization domai...	47	32	2.91	1.3e-28
GO:0070841	inclusion body assembly	47	32	2.91	1.3e-28
GO:0045648	positive regulation of erythrocyte diffe...	44	31	2.72	1.8e-28
GO:1901099	negative regulation of signal transducti...	44	31	2.72	1.8e-28
GO:2001240	negative regulation of extrinsic apoptot...	44	31	2.72	1.8e-28
GO:1900034	regulation of cellular response to heat	66	37	4.09	1.8e-28
GO:1903214	regulation of protein targeting to mitoc...	38	29	2.35	2.3e-28
GO:0060760	positive regulation of response to cytok...	45	31	2.79	5.5e-28
GO:0070431	nucleotide-binding oligomerization domai...	45	31	2.79	5.5e-28
GO:0042026	protein refolding	64	36	3.96	8.8e-28
GO:0046785	microtubule polymerization	77	39	4.77	1.0e-27
GO:0045646	regulation of erythrocyte differentiatio...	53	33	3.28	1.5e-27
GO:0032677	regulation of interleukin-8 production	46	31	2.85	1.6e-27
GO:0032757	positive regulation of interleukin-8 pro...	46	31	2.85	1.6e-27
GO:0062208	positive regulation of pattern recogniti...	46	31	2.85	1.6e-27
GO:0030512	negative regulation of transforming grow...	57	34	3.53	1.8e-27
GO:0032069	regulation of nuclease activity	61	35	3.78	1.9e-27
GO:0032637	interleukin-8 production	50	32	3.1	2.6e-27
GO:1903747	regulation of establishment of protein l...	40	29	2.48	2.9e-27
GO:0017015	regulation of transforming growth factor...	70	37	4.33	3.3e-27
GO:0001959	regulation of cytokine-mediated signalin...	58	34	3.59	4.1e-27
GO:1903845	negative regulation of cellular response...	58	34	3.59	4.1e-27
GO:0035795	negative regulation of mitochondrial mem...	47	31	2.91	4.4e-27
GO:1905709	negative regulation of membrane permeabi...	47	31	2.91	4.4e-27
GO:1903844	regulation of cellular response to trans...	71	37	4.4	6.5e-27
GO:2001239	regulation of extrinsic apoptotic signal...	48	31	2.97	1.2e-26
GO:0006402	mRNA catabolic process	479	93	29.66	1.5e-26
GO:0033209	tumor necrosis factor-mediated signaling...	52	32	3.22	1.6e-26
GO:0034605	cellular response to heat	97	42	6.01	2.5e-26
GO:1902236	negative regulation of endoplasmic retic...	53	32	3.28	3.9e-26
GO:0060759	regulation of response to cytokine stimu...	61	34	3.78	4.3e-26
GO:0035794	positive regulation of mitochondrial mem...	54	32	3.34	9.1e-26
GO:1902235	regulation of endoplasmic reticulum stre...	54	32	3.34	9.1e-26
GO:0006401	RNA catabolic process	492	93	30.46	1.3e-25
GO:0090169	regulation of spindle assembly	51	31	3.16	1.8e-25
GO:1905710	positive regulation of membrane permeabi...	55	32	3.41	2.1e-25
GO:0031110	regulation of microtubule polymerization...	86	39	5.32	2.1e-25
GO:0043618	regulation of transcription from RNA pol...	72	36	4.46	2.2e-25
GO:0033365	protein localization to organelle	663	109	41.05	4.0e-25
