go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:1902380	1	GO:1902380	1	30	1	positive regulation of endoribonuclease activity	positive regulation of endoribonuclease activity
GO:0010803	2	GO:0010803	1	30	0	regulation of tumor necrosis factor-mediated signaling pathway	regulation of tumor necrosis factor-mediated signaling pathway
GO:0090063	3	GO:0090063	1	30	2	positive regulation of microtubule nucleation	positive regulation of microtubule nucleation
GO:1901029	4	GO:1901029	1	30	3	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
GO:1903265	2	GO:0010803	0.965	30	6	positive regulation of tumor necrosis factor-mediated signaling pathway	regulation of tumor necrosis factor-mediated signaling pathway
GO:0070370	5	GO:0070370	1	30	1	cellular heat acclimation	cellular heat acclimation
GO:0051131	6	GO:0051131	1	30	5	chaperone-mediated protein complex assembly	chaperone-mediated protein complex assembly
GO:1903955	7	GO:1903955	1	30	1	positive regulation of protein targeting to mitochondrion	positive regulation of protein targeting to mitochondrion
GO:0010968	3	GO:0090063	1	30	0	regulation of microtubule nucleation	positive regulation of microtubule nucleation
GO:1901028	4	GO:1901029	1	29.9208187539524	0	regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
GO:1902686	4	GO:1901029	0.973	29.9208187539524	0	mitochondrial outer membrane permeabilization involved in programmed cell death	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
GO:0031112	3	GO:0090063	0.908	29.7958800173441	0	positive regulation of microtubule polymerization or depolymerization	positive regulation of microtubule nucleation
GO:0031116	3	GO:0090063	0.926	29.7958800173441	6	positive regulation of microtubule polymerization	positive regulation of microtubule nucleation
GO:0010286	5	GO:0070370	0.967	29.602059991328	1	heat acclimation	cellular heat acclimation
GO:1903749	7	GO:1903955	1	29.5850266520292	0	positive regulation of establishment of protein localization to mitochondrion	positive regulation of protein targeting to mitochondrion
GO:0072594	8	GO:0072594	0.995	29.3767507096021	2	establishment of protein localization to organelle	establishment of protein localization to organelle
GO:0060699	1	GO:1902380	0.931	29.3372421683184	0	regulation of endoribonuclease activity	positive regulation of endoribonuclease activity
GO:0032075	1	GO:1902380	0.967	28.9586073148418	0	positive regulation of nuclease activity	positive regulation of endoribonuclease activity
GO:1902108	4	GO:1901029	0.973	28.8538719643218	0	regulation of mitochondrial membrane permeability involved in apoptotic process	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
GO:0031113	3	GO:0090063	0.913	28.7958800173441	0	regulation of microtubule polymerization	positive regulation of microtubule nucleation
GO:0097345	4	GO:1901029	0.973	28.7695510786217	2	mitochondrial outer membrane permeabilization	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway
