"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Healthy_fem"	"Infected_fem"
"Pmin_ref_seq_12"	300	297.580609541028	-1	1
"Pmin_ref_seq_319"	300	297.580609541028	-1	1
"Pmin_ref_seq_509"	300	297.580609541028	-1	1
"Pmin_ref_seq_709"	300	297.580609541028	-1	1
"Pmin_ref_seq_788"	300	297.580609541028	-1	1
"Pmin_ref_seq_875"	300	297.580609541028	-1	1
"Pmin_ref_seq_1042"	300	297.580609541028	-1	1
"Pmin_ref_seq_1276"	300	297.580609541028	-1	1
"Pmin_ref_seq_2867"	300	297.580609541028	-1	1
"Pmin_ref_seq_3145"	300.977317221026	297.580609541028	-1	1
"Pmin_ref_seq_3249"	300	297.580609541028	-1	1
"Pmin_ref_seq_3292"	300	297.580609541028	-1	1
"Pmin_ref_seq_3436"	300	297.580609541028	-1	1
"Pmin_ref_seq_4375"	300	297.580609541028	-1	1
"Pmin_ref_seq_7998"	300	297.580609541028	-1	1
"Pmin_ref_seq_8815"	300	297.580609541028	-1	1
"Pmin_ref_seq_388"	297.57972056097	295.171611112408	-1	1
"Pmin_ref_seq_175"	289.48213709603	287.085023031769	-1	1
"Pmin_ref_seq_5169"	287.922208163776	285.535817964907	-1	1
"Pmin_ref_seq_9863"	285.3085615268	282.932636761609	-1	1
"Pmin_ref_seq_7493"	278.35309456337	275.997373184268	-1	1
"Pmin_ref_seq_7210"	251.820087140955	249.511109165395	-1	1
"Pmin_ref_seq_3179"	241.033714787302	238.742110907811	-1	1
"Pmin_ref_seq_379"	227.224094673084	224.94092396113	-1	1
"Pmin_ref_seq_621"	223.508987982678	221.23408979669	-1	1
"Pmin_ref_seq_9415"	216.07072023339	213.811908867296	-1	1
"Pmin_ref_seq_6741"	213.701766895272	211.466020833246	-1	1
"Pmin_ref_seq_7640"	208.692340455119	206.471317649914	-1	1
"Pmin_ref_seq_8020"	201.749349592833	199.542567226743	-1	1
"Pmin_ref_seq_3098"	201.335608041411	199.135774535276	-1	1
"Pmin_ref_seq_780"	195.246619633425	193.079954490542	-1	1
"Pmin_ref_seq_7232"	175.898084085123	173.773971292926	-1	1
"Pmin_ref_seq_6081"	173.577449395034	171.464766064618	-1	1
"Pmin_ref_seq_4994"	169.081195766486	166.974116313588	-1	1
"Pmin_ref_seq_254"	168.071942290849	165.975858222252	-1	1
"Pmin_ref_seq_3143"	163.368043759696	161.282683556491	-1	1
"Pmin_ref_seq_5952"	153.820003101383	151.750247971509	-1	1
"Pmin_ref_seq_6625"	153.720943154109	151.656267549764	-1	1
"Pmin_ref_seq_7642"	151.521174766345	149.466483382907	-1	1
"Pmin_ref_seq_9200"	151.091235315994	149.04145126705	-1	1
"Pmin_ref_seq_9418"	150.544453717333	148.499522171184	-1	1
"Pmin_ref_seq_559"	135.678400270147	133.656949819847	-1	1
"Pmin_ref_seq_2228"	135.435073117076	133.418170294527	-1	1
"Pmin_ref_seq_5559"	132.696542148605	130.684139827283	-1	1
"Pmin_ref_seq_5451"	130.610999567057	128.603051587161	-1	1
"Pmin_ref_seq_171"	127.138983930631	125.144131248825	-1	1
"Pmin_ref_seq_3434"	125.846310988006	123.859974157123	-1	1
"Pmin_ref_seq_7302"	124.518564795893	122.536424079603	-1	1
"Pmin_ref_seq_4130"	121.988112858676	120.014244668352	-1	1
"Pmin_ref_seq_1077"	118.753201170752	116.791453613105	-1	1
"Pmin_ref_seq_9922"	115.559942431202	113.602161060772	-1	1
"Pmin_ref_seq_7039"	113.854407110165	111.900556033363	-1	1
"Pmin_ref_seq_6587"	112.91202428214	110.973548066905	-1	1
"Pmin_ref_seq_6230"	111.867807375051	109.933091308689	-1	1
"Pmin_ref_seq_718"	111.514318973874	109.583330780032	-1	1
"Pmin_ref_seq_6940"	110.664450079847	108.737158031564	-1	1
"Pmin_ref_seq_9972"	107.750385433905	105.830392624364	-1	1
"Pmin_ref_seq_578"	105.270627809601	103.357813584687	-1	1
"Pmin_ref_seq_7367"	104.542394097504	102.636641727077	-1	1
"Pmin_ref_seq_886"	104.122498131518	102.223694621047	-1	1
"Pmin_ref_seq_6967"	102.275804870152	100.383840784211	-1	1
"Pmin_ref_seq_264"	101.19163417132	99.3030498260308	-1	1
"Pmin_ref_seq_7579"	99.8462096721363	97.9609789688547	-1	1
"Pmin_ref_seq_5947"	97.5701469481009	95.6980776908772	-1	1
"Pmin_ref_seq_4517"	96.4972000790745	94.628359791981	-1	1
"Pmin_ref_seq_3240"	96.4323061706113	94.566671023393	-1	1
"Pmin_ref_seq_9266"	94.0789922316099	92.2290372886768	-1	1
"Pmin_ref_seq_9548"	93.978249657181	92.1313639459756	-1	1
"Pmin_ref_seq_3114"	93.3214391552879	91.4776011371645	-1	1
"Pmin_ref_seq_5137"	93.1443755191313	91.303563955638	-1	1
"Pmin_ref_seq_98"	92.1669641513083	90.3291580979548	-1	1
"Pmin_ref_seq_7408"	87.8411362219202	86.0122238817267	-1	1
"Pmin_ref_seq_455"	86.6737878299372	84.8507050334044	-1	1
"Pmin_ref_seq_5623"	85.832030683993	84.0118335756977	-1	1
"Pmin_ref_seq_52"	84.0270008951405	82.2125182703696	-1	1
"Pmin_ref_seq_5359"	83.3769204809268	81.5652671461748	-1	1
"Pmin_ref_seq_186"	82.6587697275696	80.8499273701514	-1	1
"Pmin_ref_seq_8187"	81.8210329768869	80.0177585737077	-1	1
"Pmin_ref_seq_1236"	80.7563081278496	78.9557911592156	-1	1
"Pmin_ref_seq_9857"	80.3455766036027	78.5477996723346	-1	1
"Pmin_ref_seq_1037"	79.906726531829	78.1143783522723	-1	1
"Pmin_ref_seq_4217"	79.4733363068791	77.6836772658332	-1	1
"Pmin_ref_seq_2387"	77.9080589122337	76.1316013277928	-1	1
"Pmin_ref_seq_3332"	75.6339243645081	73.8702787558272	-1	1
"Pmin_ref_seq_3201"	75.3850087337566	73.6238807812969	-1	1
"Pmin_ref_seq_9969"	75.2439542416056	73.4853294342998	-1	1
"Pmin_ref_seq_6443"	74.6437548284535	72.8876188215513	-1	1
"Pmin_ref_seq_4721"	73.3621622618556	71.613408208576	-1	1
"Pmin_ref_seq_1552"	73.0534832932129	71.3071622686043	-1	1
"Pmin_ref_seq_9831"	72.0204646947149	70.2765631442297	-1	1
"Pmin_ref_seq_2291"	71.0773226002461	69.340599634388	-1	1
"Pmin_ref_seq_3853"	71.0154903561218	69.2811341235428	-1	1
"Pmin_ref_seq_7446"	70.6801484569849	68.9481461297994	-1	1
"Pmin_ref_seq_1749"	69.8648962471281	68.1398800408033	-1	1
"Pmin_ref_seq_7621"	69.5504389558534	67.8277267044382	-1	1
"Pmin_ref_seq_6040"	68.2057802128192	66.4899073859343	-1	1
"Pmin_ref_seq_3382"	67.7541041917453	66.0404874451646	-1	1
"Pmin_ref_seq_140"	66.6605125151099	64.958003649783	-1	1
"Pmin_ref_seq_1044"	66.0396667788201	64.3393457996413	-1	1
"Pmin_ref_seq_6972"	65.7116880633396	64.0135440034151	-1	1
"Pmin_ref_seq_6565"	65.4549698881362	63.7611472019943	-1	1
"Pmin_ref_seq_7107"	65.4092715937098	63.7175935760346	-1	1
"Pmin_ref_seq_5968"	64.9634869212568	63.2739430330942	-1	1
"Pmin_ref_seq_4527"	64.9162853265867	63.228865132054	-1	1
"Pmin_ref_seq_3718"	63.2261323335606	61.5408254983413	-1	1
"Pmin_ref_seq_1054"	63.1751478417667	61.4919441316351	-1	1
