GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0002181	cytoplasmic translation	430	130	42.84	< 1e-30
GO:0006613	cotranslational protein targeting to mem...	277	90	27.6	5.5e-27
GO:0006614	SRP-dependent cotranslational protein ta...	272	89	27.1	6.2e-27
GO:0070972	protein localization to endoplasmic reti...	313	96	31.18	1.2e-26
GO:0045047	protein targeting to ER	291	91	28.99	6.8e-26
GO:0072599	establishment of protein localization to...	295	91	29.39	2.1e-25
GO:0000184	nuclear-transcribed mRNA catabolic proce...	306	92	30.49	9.1e-25
GO:0006612	protein targeting to membrane	308	90	30.69	3.2e-23
GO:0006412	translation	873	169	86.98	1.1e-21
GO:0090150	establishment of protein localization to...	367	97	36.56	1.8e-21
GO:0000956	nuclear-transcribed mRNA catabolic proce...	364	95	36.27	1.3e-20
GO:0043043	peptide biosynthetic process	900	170	89.67	1.4e-20
GO:0006518	peptide metabolic process	990	177	98.63	8.7e-19
GO:0043604	amide biosynthetic process	954	170	95.05	1.0e-17
GO:0006413	translational initiation	386	93	38.46	1.4e-17
GO:0006605	protein targeting	420	96	41.84	1.7e-16
GO:0042255	ribosome assembly	140	49	13.95	2.6e-16
GO:0072657	protein localization to membrane	470	102	46.83	7.1e-16
GO:0006402	mRNA catabolic process	479	101	47.72	8.1e-15
GO:0043603	cellular amide metabolic process	1111	181	110.69	9.3e-15
GO:0051668	localization within membrane	512	105	51.01	1.5e-14
GO:0072594	establishment of protein localization to...	517	105	51.51	3.0e-14
GO:0006401	RNA catabolic process	492	101	49.02	5.2e-14
GO:0042254	ribosome biogenesis	327	76	32.58	1.8e-13
GO:1901566	organonitrogen compound biosynthetic pro...	1355	204	135	3.9e-13
GO:0033365	protein localization to organelle	663	121	66.05	7.4e-13
GO:0034655	nucleobase-containing compound catabolic...	608	113	60.57	1.6e-12
GO:0046700	heterocycle catabolic process	626	113	62.37	1.2e-11
GO:0019439	aromatic compound catabolic process	634	113	63.17	2.9e-11
GO:0000028	ribosomal small subunit assembly	62	26	6.18	3.2e-11
GO:0006886	intracellular protein transport	788	132	78.51	3.6e-11
GO:0044270	cellular nitrogen compound catabolic pro...	639	113	63.66	4.9e-11
GO:1901361	organic cyclic compound catabolic proces...	651	113	64.86	1.7e-10
GO:0044265	cellular macromolecule catabolic process	824	132	82.09	9.3e-10
GO:0010629	negative regulation of gene expression	1040	157	103.61	1.2e-09
GO:0042274	ribosomal small subunit biogenesis	108	33	10.76	1.5e-09
GO:0016071	mRNA metabolic process	763	122	76.02	6.1e-09
GO:0009057	macromolecule catabolic process	926	140	92.26	1.4e-08
GO:0022613	ribonucleoprotein complex biogenesis	456	80	45.43	9.6e-08
GO:0000027	ribosomal large subunit assembly	67	22	6.68	2.1e-07
GO:0042273	ribosomal large subunit biogenesis	144	35	14.35	3.1e-07
GO:0022618	ribonucleoprotein complex assembly	273	54	27.2	3.3e-07
GO:0015031	protein transport	1016	144	101.22	6.4e-07
GO:0015833	peptide transport	1025	145	102.12	6.4e-07
GO:0044271	cellular nitrogen compound biosynthetic ...	1935	242	192.78	6.7e-07
GO:0046907	intracellular transport	1189	163	118.46	7.4e-07
GO:0071826	ribonucleoprotein complex subunit organi...	282	54	28.1	9.8e-07
GO:0010605	negative regulation of macromolecule met...	1243	168	123.84	1.2e-06
GO:0042886	amide transport	1049	146	104.51	1.6e-06
GO:0071705	nitrogen compound transport	1170	158	116.57	3.3e-06
GO:0034645	cellular macromolecule biosynthetic proc...	1786	223	177.94	4.1e-06
GO:0045184	establishment of protein localization	1066	146	106.2	4.4e-06
GO:1901575	organic substance catabolic process	1235	164	123.04	5.8e-06
GO:0009892	negative regulation of metabolic process	1357	176	135.2	1.0e-05
GO:0009059	macromolecule biosynthetic process	1827	224	182.02	1.7e-05
GO:0051649	establishment of localization in cell	1643	204	163.69	2.6e-05
GO:0036500	ATF6-mediated unfolded protein response	23	10	2.29	3.0e-05
GO:0071702	organic substance transport	1253	162	124.84	3.6e-05
GO:0019538	protein metabolic process	2233	263	222.47	3.9e-05
GO:1901564	organonitrogen compound metabolic proces...	2821	320	281.05	3.9e-05
GO:0044248	cellular catabolic process	1391	175	138.58	7.7e-05
GO:0050829	defense response to Gram-negative bacter...	106	24	10.56	8.1e-05
GO:0006364	rRNA processing	197	37	19.63	8.6e-05
GO:0140694	non-membrane-bounded organelle assembly	400	63	39.85	9.5e-05
GO:0009056	catabolic process	1443	179	143.77	0.00014
GO:0034641	cellular nitrogen compound metabolic pro...	2553	291	254.35	0.00015
GO:0034470	ncRNA processing	249	43	24.81	0.00017
GO:0010467	gene expression	2072	243	206.43	0.00018
GO:0008104	protein localization	1307	163	130.22	0.00027
GO:0070925	organelle assembly	498	73	49.62	0.00027
GO:0016072	rRNA metabolic process	208	37	20.72	0.00027
GO:0006810	transport	2133	248	212.51	0.00028
GO:1990089	response to nerve growth factor	57	15	5.68	0.00032
GO:1990090	cellular response to nerve growth factor...	57	15	5.68	0.00032
GO:0009058	biosynthetic process	2345	268	233.63	0.00041
GO:1901576	organic substance biosynthetic process	2326	266	231.74	0.00042
GO:0006984	ER-nucleus signaling pathway	36	11	3.59	0.00051
GO:0034975	protein folding in endoplasmic reticulum	36	11	3.59	0.00051
GO:0042742	defense response to bacterium	187	33	18.63	0.00068
GO:0051234	establishment of localization	2179	250	217.09	0.00069
GO:0030968	endoplasmic reticulum unfolded protein r...	81	18	8.07	0.00079
GO:0070727	cellular macromolecule localization	1335	163	133.01	0.00081
GO:0044249	cellular biosynthetic process	2288	260	227.95	0.00092
