"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Healthy_fem"	"Infected_fem"
"Pmin_ref_seq_12"	300	297.580609541028	-1	1
"Pmin_ref_seq_319"	300	297.580609541028	-1	1
"Pmin_ref_seq_509"	300	297.580609541028	-1	1
"Pmin_ref_seq_567"	300	297.580609541028	1	-1
"Pmin_ref_seq_709"	300	297.580609541028	-1	1
"Pmin_ref_seq_788"	300	297.580609541028	-1	1
"Pmin_ref_seq_854"	300	297.580609541028	1	-1
"Pmin_ref_seq_875"	300	297.580609541028	-1	1
"Pmin_ref_seq_1042"	300	297.580609541028	-1	1
"Pmin_ref_seq_1276"	300	297.580609541028	-1	1
"Pmin_ref_seq_2745"	300	297.580609541028	1	-1
"Pmin_ref_seq_2867"	300	297.580609541028	-1	1
"Pmin_ref_seq_2969"	300	297.580609541028	1	-1
"Pmin_ref_seq_3145"	300.977317221026	297.580609541028	-1	1
"Pmin_ref_seq_3249"	300	297.580609541028	-1	1
"Pmin_ref_seq_3292"	300	297.580609541028	-1	1
"Pmin_ref_seq_3436"	300	297.580609541028	-1	1
"Pmin_ref_seq_3547"	300	297.580609541028	1	-1
"Pmin_ref_seq_4375"	300	297.580609541028	-1	1
"Pmin_ref_seq_5005"	300	297.580609541028	1	-1
"Pmin_ref_seq_5101"	300	297.580609541028	1	-1
"Pmin_ref_seq_5303"	300	297.580609541028	1	-1
"Pmin_ref_seq_5432"	300	297.580609541028	1	-1
"Pmin_ref_seq_5794"	300	297.580609541028	1	-1
"Pmin_ref_seq_5875"	300	297.580609541028	1	-1
"Pmin_ref_seq_6420"	300	297.580609541028	1	-1
"Pmin_ref_seq_6731"	300	297.580609541028	1	-1
"Pmin_ref_seq_7680"	300	297.580609541028	1	-1
"Pmin_ref_seq_7734"	300	297.580609541028	1	-1
"Pmin_ref_seq_7998"	300	297.580609541028	-1	1
"Pmin_ref_seq_8172"	300	297.580609541028	1	-1
"Pmin_ref_seq_8371"	300	297.580609541028	1	-1
"Pmin_ref_seq_8618"	300	297.580609541028	1	-1
"Pmin_ref_seq_8628"	300	297.580609541028	1	-1
"Pmin_ref_seq_8815"	300	297.580609541028	-1	1
"Pmin_ref_seq_8837"	300	297.580609541028	1	-1
"Pmin_ref_seq_9568"	300	297.580609541028	1	-1
"Pmin_ref_seq_9677"	300	297.580609541028	1	-1
"Pmin_ref_seq_388"	297.57972056097	295.171611112408	-1	1
"Pmin_ref_seq_175"	289.48213709603	287.085023031769	-1	1
"Pmin_ref_seq_5169"	287.922208163776	285.535817964907	-1	1
"Pmin_ref_seq_9863"	285.3085615268	282.932636761609	-1	1
"Pmin_ref_seq_6710"	283.88999376702	281.524288167011	1	-1
"Pmin_ref_seq_7493"	278.35309456337	275.997373184268	-1	1
"Pmin_ref_seq_5238"	275.978144678689	273.632183136875	1	-1
"Pmin_ref_seq_6128"	275.860401141856	273.52398491795	-1	0
"Pmin_ref_seq_6941"	265.496347845623	263.16927164797	1	-1
"Pmin_ref_seq_8580"	258.864972216808	256.547039398595	1	-1
"Pmin_ref_seq_7210"	251.820087140955	249.511109165395	-1	1
"Pmin_ref_seq_9980"	249.755608147423	247.45540409617	1	-1
"Pmin_ref_seq_3179"	241.033714787302	238.742110907811	-1	1
"Pmin_ref_seq_379"	227.224094673084	224.94092396113	-1	1
"Pmin_ref_seq_621"	223.508987982678	221.23408979669	-1	1
"Pmin_ref_seq_6269"	222.08445920932	219.817678913555	1	-1
"Pmin_ref_seq_9415"	216.07072023339	213.811908867296	-1	1
"Pmin_ref_seq_2773"	214.642283996599	212.391297968016	1	-1
"Pmin_ref_seq_5090"	214.38138999892	212.138090799004	1	-1
"Pmin_ref_seq_6741"	213.701766895272	211.466020833246	-1	1
"Pmin_ref_seq_7526"	210.21781189581	207.989489851864	1	-1
"Pmin_ref_seq_7640"	208.692340455119	206.471317649914	-1	1
"Pmin_ref_seq_8165"	201.831193036206	199.617348815628	1	-1
"Pmin_ref_seq_8020"	201.749349592833	199.542567226743	-1	1
"Pmin_ref_seq_3098"	201.335608041411	199.135774535276	-1	1
"Pmin_ref_seq_8264"	199.234946046551	197.041951964946	1	-1
"Pmin_ref_seq_6002"	198.843136668205	196.656875969259	1	-1
"Pmin_ref_seq_3602"	198.192538471015	196.012908350969	-1	0
"Pmin_ref_seq_4923"	197.360952902069	195.187853649181	1	-1
"Pmin_ref_seq_780"	195.246619633425	193.079954490542	-1	1
"Pmin_ref_seq_7498"	194.225007593927	192.064682629075	1	-1
"Pmin_ref_seq_8201"	189.731993281333	187.577917265759	1	-1
"Pmin_ref_seq_6050"	187.633550931841	185.485635224972	-1	0
"Pmin_ref_seq_543"	184.658829856533	182.516988297376	1	-1
"Pmin_ref_seq_8908"	180.911481958583	178.775630763115	1	-1
"Pmin_ref_seq_8508"	176.094895086305	173.964952750447	1	-1
"Pmin_ref_seq_7232"	175.898084085123	173.773971292926	-1	1
"Pmin_ref_seq_9678"	175.546254234808	173.4278937715	1	-1
"Pmin_ref_seq_6081"	173.577449395034	171.464766064618	-1	1
"Pmin_ref_seq_4994"	169.081195766486	166.974116313588	-1	1
"Pmin_ref_seq_9621"	168.292883518145	166.191336553847	1	-1
"Pmin_ref_seq_254"	168.071942290849	165.975858222252	-1	1
"Pmin_ref_seq_1123"	164.320742007447	162.230052970737	1	-1
"Pmin_ref_seq_3143"	163.368043759696	161.282683556491	-1	1
"Pmin_ref_seq_7776"	162.226691196445	160.146595233233	1	-1
"Pmin_ref_seq_4060"	156.24313846662	154.168243697093	1	-1
"Pmin_ref_seq_5952"	153.820003101383	151.750247971509	-1	1
"Pmin_ref_seq_6625"	153.720943154109	151.656267549764	-1	1
"Pmin_ref_seq_6552"	152.60292367128	150.543268868311	1	-1
"Pmin_ref_seq_7642"	151.521174766345	149.466483382907	-1	1
"Pmin_ref_seq_9200"	151.091235315994	149.04145126705	-1	1
"Pmin_ref_seq_9418"	150.544453717333	148.499522171184	-1	1
"Pmin_ref_seq_9953"	147.164707363364	145.124574700096	1	-1
"Pmin_ref_seq_6485"	144.979206928681	142.943820700438	1	-1
"Pmin_ref_seq_7783"	144.675915833928	142.645224726894	1	-1
"Pmin_ref_seq_3873"	142.881784087423	140.855737885434	1	-1
"Pmin_ref_seq_559"	135.678400270147	133.656949819847	-1	1
"Pmin_ref_seq_2228"	135.435073117076	133.418170294527	-1	1
"Pmin_ref_seq_5559"	132.696542148605	130.684139827283	-1	1
"Pmin_ref_seq_5451"	130.610999567057	128.603051587161	-1	1
"Pmin_ref_seq_5102"	129.667114689103	127.663575828112	1	-1
"Pmin_ref_seq_7802"	129.496688636852	127.497514581264	1	-1
"Pmin_ref_seq_171"	127.138983930631	125.144131248825	-1	1
"Pmin_ref_seq_6196"	126.785249233458	124.794675349631	-1	0
"Pmin_ref_seq_3434"	125.846310988006	123.859974157123	-1	1
"Pmin_ref_seq_7302"	124.518564795893	122.536424079603	-1	1
"Pmin_ref_seq_9906"	123.11981314904	121.141828392522	1	-1
"Pmin_ref_seq_4130"	121.988112858676	120.014244668352	-1	1
"Pmin_ref_seq_6007"	119.467660111794	117.497869833891	-1	0
"Pmin_ref_seq_6729"	119.335217134826	117.369466834724	1	-1
"Pmin_ref_seq_1077"	118.753201170752	116.791453613105	-1	1
"Pmin_ref_seq_9922"	115.559942431202	113.602161060772	-1	1
"Pmin_ref_seq_7039"	113.854407110165	111.900556033363	-1	1
"Pmin_ref_seq_145"	113.674817633159	111.724861600241	-1	0
