"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Healthy_fem"	"Healthy_male"
"Pmin_ref_seq_5794"	309.11097893033	305.412834870406	1	-1
"Pmin_ref_seq_854"	300	297.624075234809	1	-1
"Pmin_ref_seq_2745"	300	297.624075234809	1	NA
"Pmin_ref_seq_2969"	300	297.624075234809	1	-1
"Pmin_ref_seq_3547"	300	297.624075234809	1	NA
"Pmin_ref_seq_3873"	300	297.624075234809	1	-1
"Pmin_ref_seq_5005"	300	297.624075234809	1	NA
"Pmin_ref_seq_5101"	300	297.624075234809	1	NA
"Pmin_ref_seq_5875"	300	297.624075234809	1	NA
"Pmin_ref_seq_6420"	300	297.624075234809	1	-1
"Pmin_ref_seq_6731"	300	297.624075234809	1	NA
"Pmin_ref_seq_6741"	300	297.624075234809	1	NA
"Pmin_ref_seq_7734"	300	297.624075234809	1	NA
"Pmin_ref_seq_8618"	300	297.624075234809	1	NA
"Pmin_ref_seq_5238"	294.014117010748	291.648411410739	1	-1
"Pmin_ref_seq_8628"	282.8414434692	280.485722090098	1	-1
"Pmin_ref_seq_5303"	238.503232063931	236.176155866278	1	-1
"Pmin_ref_seq_5043"	238.246151417164	235.928218598951	1	0
"Pmin_ref_seq_5755"	175.154370861393	172.947588495303	1	NA
"Pmin_ref_seq_9980"	168.559325970239	166.366331888635	1	NA
"Pmin_ref_seq_5090"	160.255103673615	158.088438530733	1	NA
"Pmin_ref_seq_8508"	135.681513353537	133.568830023121	1	-1
"Pmin_ref_seq_2773"	118.311928813789	116.242173683915	1	0
"Pmin_ref_seq_9621"	114.601781504947	112.537105900602	1	-1
"Pmin_ref_seq_7498"	112.92587108512	110.871179701681	1	NA
"Pmin_ref_seq_6002"	110.804089751513	108.754305702569	1	-1
"Pmin_ref_seq_6485"	108.521364523038	106.481231859771	1	-1
"Pmin_ref_seq_543"	101.828380573235	99.8023343712464	1	NA
"Pmin_ref_seq_6552"	95.1914554245107	93.1966027427049	1	NA
"Pmin_ref_seq_145"	94.9417762156415	92.9512023318149	1	-1
"Pmin_ref_seq_2001"	79.8462567401577	77.9262639306168	1	-1
"Pmin_ref_seq_61"	76.5702031839867	74.6609342398376	1	-1
"Pmin_ref_seq_7783"	73.5425843982298	71.6506203122892	1	NA
"Pmin_ref_seq_5862"	68.7228484017457	66.8666891464113	1	-1
"Pmin_ref_seq_9799"	60.8852764804035	59.0650793721082	1	NA
"Pmin_ref_seq_2917"	58.52271102779	56.7082284030191	1	0
"Pmin_ref_seq_1115"	57.872909758101	56.0696353549218	1	-1
"Pmin_ref_seq_2875"	57.8742557003617	56.0696353549218	1	0
"Pmin_ref_seq_6504"	54.8500370132249	53.0683469018503	1	-1
"Pmin_ref_seq_6631"	54.661601161948	52.8825351943996	1	-1
"Pmin_ref_seq_6328"	53.1807019557917	51.4119768215815	1	0
"Pmin_ref_seq_4139"	52.5147704981391	50.7536425456794	1	-1
"Pmin_ref_seq_8821"	52.4432588958779	50.6846340885721	1	NA
"Pmin_ref_seq_297"	47.0764968175018	45.3421405849229	1	-1
"Pmin_ref_seq_4695"	45.2824812465077	43.5574650401829	1	0
"Pmin_ref_seq_9906"	43.1079300921248	41.4010121078928	1	0
"Pmin_ref_seq_131"	41.0702522163157	39.382832021783	1	0
"Pmin_ref_seq_9967"	40.4891159005208	38.8100881310434	1	-1
"Pmin_ref_seq_2867"	40.4729315190123	38.7959767581578	1	-1
"Pmin_ref_seq_5713"	40.1788919166312	38.5060537219715	1	-1
"Pmin_ref_seq_4678"	39.9136434469786	38.2448831647393	1	-1
"Pmin_ref_seq_6168"	37.049097994871	35.3982288023307	1	0
"Pmin_ref_seq_9751"	36.7987086742587	35.1497826370044	1	-1
