go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:1901673	1	GO:1901673	1	30	7	regulation of mitotic spindle assembly	regulation of mitotic spindle assembly
GO:1902110	2	GO:1902110	1	30	0	positive regulation of mitochondrial membrane permeability involved in apoptotic process	positive regulation of mitochondrial membrane permeability involved in apoptotic process
GO:1902380	3	GO:1902380	1	30	1	positive regulation of endoribonuclease activity	positive regulation of endoribonuclease activity
GO:0010803	4	GO:0010803	1	30	0	regulation of tumor necrosis factor-mediated signaling pathway	regulation of tumor necrosis factor-mediated signaling pathway
GO:0031112	1	GO:1901673	0.774	30	0	positive regulation of microtubule polymerization or depolymerization	regulation of mitotic spindle assembly
GO:0060700	3	GO:1902380	0.946	30	0	regulation of ribonuclease activity	positive regulation of endoribonuclease activity
GO:0090063	1	GO:1901673	0.687	30	1	positive regulation of microtubule nucleation	regulation of mitotic spindle assembly
GO:1902686	2	GO:1902110	1	30	0	mitochondrial outer membrane permeabilization involved in programmed cell death	positive regulation of mitochondrial membrane permeability involved in apoptotic process
GO:0010968	1	GO:1901673	0.687	30	0	regulation of microtubule nucleation	regulation of mitotic spindle assembly
GO:1903265	4	GO:0010803	0.965	30	6	positive regulation of tumor necrosis factor-mediated signaling pathway	regulation of tumor necrosis factor-mediated signaling pathway
GO:0032069	3	GO:1902380	0.931	30	0	regulation of nuclease activity	positive regulation of endoribonuclease activity
GO:2001240	5	GO:2001240	1	30	1	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
GO:0032075	3	GO:1902380	0.967	30	0	positive regulation of nuclease activity	positive regulation of endoribonuclease activity
GO:0097345	2	GO:1902110	1	30	2	mitochondrial outer membrane permeabilization	positive regulation of mitochondrial membrane permeability involved in apoptotic process
GO:1901029	2	GO:1902110	0.946	30	1	negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	positive regulation of mitochondrial membrane permeability involved in apoptotic process
GO:1901099	5	GO:2001240	1	30	0	negative regulation of signal transduction in absence of ligand	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
GO:0001961	4	GO:0010803	0.965	30	0	positive regulation of cytokine-mediated signaling pathway	regulation of tumor necrosis factor-mediated signaling pathway
GO:0060699	3	GO:1902380	0.946	30	0	regulation of endoribonuclease activity	positive regulation of endoribonuclease activity
GO:0031116	1	GO:1901673	0.756	30	5	positive regulation of microtubule polymerization	regulation of mitotic spindle assembly
GO:0070370	6	GO:0070370	1	30	1	cellular heat acclimation	cellular heat acclimation
GO:1901028	2	GO:1902110	0.946	30	0	regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	positive regulation of mitochondrial membrane permeability involved in apoptotic process
GO:0007020	1	GO:1901673	0.504	30	22	microtubule nucleation	regulation of mitotic spindle assembly
GO:0051131	7	GO:0051131	1	30	5	chaperone-mediated protein complex assembly	chaperone-mediated protein complex assembly
GO:0010286	6	GO:0070370	0.967	29.8239087409443	1	heat acclimation	cellular heat acclimation
GO:1902108	2	GO:1902110	1	29.6382721639824	0	regulation of mitochondrial membrane permeability involved in apoptotic process	positive regulation of mitochondrial membrane permeability involved in apoptotic process
GO:0060760	4	GO:0010803	0.965	29.6382721639824	0	positive regulation of response to cytokine stimulus	regulation of tumor necrosis factor-mediated signaling pathway
GO:2001239	5	GO:2001240	1	28.6777807052661	0	regulation of extrinsic apoptotic signaling pathway in absence of ligand	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
GO:0031113	1	GO:1901673	0.769	27.8860566476932	0	regulation of microtubule polymerization	regulation of mitotic spindle assembly
GO:0090169	1	GO:1901673	0.992	27.7958800173441	0	regulation of spindle assembly	regulation of mitotic spindle assembly
GO:0001959	4	GO:0010803	1	27.6197887582884	0	regulation of cytokine-mediated signaling pathway	regulation of tumor necrosis factor-mediated signaling pathway
GO:0033209	4	GO:0010803	0.931	27.5086383061657	21	tumor necrosis factor-mediated signaling pathway	regulation of tumor necrosis factor-mediated signaling pathway
GO:1902236	8	GO:1902236	1	27.2441251443275	1	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GO:1902235	8	GO:1902236	1	27	0	regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
GO:0035794	2	GO:1902110	1	27	0	positive regulation of mitochondrial membrane permeability	positive regulation of mitochondrial membrane permeability involved in apoptotic process
GO:0060759	4	GO:0010803	1	26.9208187539524	0	regulation of response to cytokine stimulus	regulation of tumor necrosis factor-mediated signaling pathway
GO:0031397	9	GO:0031397	1	26.9208187539524	1	negative regulation of protein ubiquitination	negative regulation of protein ubiquitination
