"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Infected_fem"	"Infected_male"
"Pmin_ref_seq_3249"	300	297.415799292382	1	-1
"Pmin_ref_seq_3436"	300	297.415799292382	1	NA
"Pmin_ref_seq_3873"	300	297.415799292382	1	0
"Pmin_ref_seq_5432"	300	297.415799292382	1	-1
"Pmin_ref_seq_6741"	300	297.415799292382	1	-1
"Pmin_ref_seq_7998"	300	297.415799292382	1	NA
"Pmin_ref_seq_8815"	300	297.415799292382	1	-1
"Pmin_ref_seq_145"	226.037152175066	223.606179843544	1	-1
"Pmin_ref_seq_5005"	219.83909147552	217.430982026958	1	-1
"Pmin_ref_seq_8618"	212.786430106633	210.400039907764	1	-1
"Pmin_ref_seq_5043"	197.073074691182	194.727113149369	1	-1
"Pmin_ref_seq_6081"	175.777271704728	173.485667825238	1	0
"Pmin_ref_seq_4375"	160.250937725212	157.99995169663	1	-1
"Pmin_ref_seq_6625"	149.298924518387	147.105930436782	1	-1
"Pmin_ref_seq_4923"	143.066538635146	140.893439382258	1	-1
"Pmin_ref_seq_7642"	115.355897991403	113.265208954693	1	-1
"Pmin_ref_seq_886"	107.15421634175	105.089540737405	1	-1
"Pmin_ref_seq_9799"	102.614921104607	100.579534876364	1	-1
"Pmin_ref_seq_7446"	97.8993834850193	95.8779330347196	1	-1
"Pmin_ref_seq_5310"	96.7106040405847	94.7070651795938	1	-1
"Pmin_ref_seq_6587"	86.213178421632	84.2593273448302	1	-1
"Pmin_ref_seq_2591"	77.579362920541	75.6557358263451	1	-1
"Pmin_ref_seq_7661"	76.0395428402188	74.1302738960697	1	-1
"Pmin_ref_seq_7621"	69.5844260334799	67.6991953301982	1	-1
"Pmin_ref_seq_8495"	65.5989103993903	63.74586437948	1	-1
"Pmin_ref_seq_7579"	61.2519252638482	59.4200685430079	1	-1
"Pmin_ref_seq_8273"	60.1676896843379	58.3417018971617	1	-1
"Pmin_ref_seq_2999"	56.5542801436179	54.7592260706853	1	-1
"Pmin_ref_seq_2971"	55.659655929764	53.8779658183894	1	-1
"Pmin_ref_seq_5238"	52.3214500987709	50.5653140918687	1	-1
"Pmin_ref_seq_7400"	51.4337233005827	49.682522511356	1	-1
"Pmin_ref_seq_5263"	41.659945865596	39.9829911047414	1	-1
"Pmin_ref_seq_8908"	38.9544711472759	37.293753585292	1	0
"Pmin_ref_seq_9976"	36.7921894968142	35.1622312986358	1	-1
"Pmin_ref_seq_8452"	33.0800356269651	31.4891015366884	1	-1
"Pmin_ref_seq_5971"	31.959018853309	30.3830906716573	1	0
"Pmin_ref_seq_6116"	30.3472370436428	28.7778152680567	1	-1
"Pmin_ref_seq_6954"	30.2939394935242	28.7261292020947	1	-1
"Pmin_ref_seq_7620"	29.7680252485656	28.2034200970113	1	-1
"Pmin_ref_seq_3340"	27.3174484845575	25.7851420493231	1	-1
"Pmin_ref_seq_5946"	26.370928057463	24.8531966303768	1	0
"Pmin_ref_seq_5405"	25.3830090181519	23.8779895565819	1	-1
"Pmin_ref_seq_6443"	25.2987866634764	23.7965422559611	1	0
"Pmin_ref_seq_1863"	22.7655930334089	21.2888632113267	1	-1
"Pmin_ref_seq_5089"	22.1376020347828	20.6737220992371	1	-1
"Pmin_ref_seq_5718"	21.1975002332825	19.7467050748183	1	-1
"Pmin_ref_seq_5526"	20.9426427439389	19.4985631369288	1	-1
"Pmin_ref_seq_9688"	20.4263265321651	18.9918185408287	1	-1
"Pmin_ref_seq_9730"	20.0056175414394	18.5839352856881	1	-1
"Pmin_ref_seq_6269"	19.3650248966186	17.9535618060491	1	-1
"Pmin_ref_seq_451"	19.1658700226023	17.7566455683395	1	-1
"Pmin_ref_seq_5315"	16.7361192998232	15.3754345011894	1	-1
"Pmin_ref_seq_3711"	15.8239320804327	14.4912760053991	1	-1
"Pmin_ref_seq_6742"	15.575012391558	14.2470111786846	1	0
"Pmin_ref_seq_5303"	14.3411962890843	13.0392515762556	1	-1
"Pmin_ref_seq_8972"	13.4548127370193	12.1757979848368	1	-1
"Pmin_ref_seq_834"	11.2735179008327	10.0473985386084	1	-1
"Pmin_ref_seq_6333"	11.1525257324025	9.93294816807181	1	-1
"Pmin_ref_seq_7452"	10.6593552194	9.45675549702198	1	-1
"Pmin_ref_seq_6634"	9.98757029380607	8.80397398654186	1	-1
"Pmin_ref_seq_9593"	9.68300244833545	8.51055091291596	1	0
"Pmin_ref_seq_9899"	9.09321387330995	7.94063514666728	1	-1
"Pmin_ref_seq_6385"	9.0411660191613	7.89263819875588	1	0
"Pmin_ref_seq_9941"	8.94856161368289	7.80792475566404	1	0
"Pmin_ref_seq_9443"	8.62322964105622	7.49328730519871	1	-1
"Pmin_ref_seq_8869"	8.56365002784998	7.43663224500979	1	-1
"Pmin_ref_seq_460"	8.23384097880013	7.11832835836527	1	0
"Pmin_ref_seq_9088"	7.58266053258274	6.49570853352667	1	-1
"Pmin_ref_seq_5844"	7.08334113309758	6.02468356244166	1	-1
"Pmin_ref_seq_5140"	6.54644167071237	5.50678599209688	1	-1
"Pmin_ref_seq_2283"	6.39645967635489	5.36295759198651	1	-1
"Pmin_ref_seq_5285"	6.2896591642015	5.26268794699208	1	-1
"Pmin_ref_seq_5250"	6.24021223215496	5.21646998507573	1	-1
"Pmin_ref_seq_5101"	6.06991139613573	5.05436362767178	1	-1
"Pmin_ref_seq_8918"	5.40494564598184	4.43271321835238	1	-1
"Pmin_ref_seq_5430"	5.23901926876384	4.27487449537772	1	-1
"Pmin_ref_seq_6631"	5.15433933201572	4.19655796158546	1	-1
"Pmin_ref_seq_6254"	5.00719266257333	4.0583983632463	1	-1
"Pmin_ref_seq_8977"	4.68826595757342	3.75912976859269	1	-1
"Pmin_ref_seq_8302"	4.42636399879029	3.51248052143187	1	0
"Pmin_ref_seq_6248"	4.19156358457275	3.2944800544961	1	-1
"Pmin_ref_seq_8371"	4.18545045000097	3.28905300929592	1	-1
"Pmin_ref_seq_5708"	3.39813852174234	2.56338411034513	1	0
"Pmin_ref_seq_76"	3.28475799568762	2.46254292068605	1	-1
"Pmin_ref_seq_5664"	3.23153921544778	2.41420874780407	1	-1
"Pmin_ref_seq_8988"	3.15140041390435	2.34234736420703	1	0
"Pmin_ref_seq_5671"	3.09957429801819	2.29463699115353	1	-1
"Pmin_ref_seq_3539"	3.09730249711663	2.29319743799673	1	-1
"Pmin_ref_seq_129"	2.97161687114294	2.18436389986296	1	0
"Pmin_ref_seq_4076"	2.84832669848503	2.0757525481039	1	0
"Pmin_ref_seq_8314"	2.80235282818419	2.03566663894869	1	-1
