GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0002181	cytoplasmic translation	430	16	3.19	1.2e-08
GO:0006412	translation	873	19	6.47	1.7e-06
GO:0043043	peptide biosynthetic process	900	19	6.67	2.8e-06
GO:1901566	organonitrogen compound biosynthetic pro...	1356	23	10.05	4.6e-06
GO:0043604	amide biosynthetic process	954	19	7.07	7.0e-06
GO:0006518	peptide metabolic process	990	19	7.34	1.2e-05
GO:0043603	cellular amide metabolic process	1111	19	8.24	7.0e-05
GO:0044271	cellular nitrogen compound biosynthetic ...	1935	23	14.34	0.00234
GO:0034645	cellular macromolecule biosynthetic proc...	1786	21	13.24	0.00574
GO:0009059	macromolecule biosynthetic process	1827	21	13.54	0.00780
GO:0034641	cellular nitrogen compound metabolic pro...	2553	26	18.92	0.00980
