"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Infected_fem"	"Infected_male"
"Pmin_ref_seq_171"	300	297.415799292382	-1	1
"Pmin_ref_seq_254"	300	297.415799292382	-1	1
"Pmin_ref_seq_319"	300	297.415799292382	-1	1
"Pmin_ref_seq_788"	300	297.415799292382	-1	1
"Pmin_ref_seq_1037"	300	297.415799292382	-1	1
"Pmin_ref_seq_1042"	300	297.415799292382	-1	1
"Pmin_ref_seq_1276"	300	297.415799292382	-1	1
"Pmin_ref_seq_1557"	300	297.415799292382	-1	1
"Pmin_ref_seq_3179"	300	297.415799292382	-1	1
"Pmin_ref_seq_5531"	300	297.415799292382	-1	1
"Pmin_ref_seq_8020"	300	297.415799292382	-1	1
"Pmin_ref_seq_3098"	258.55741001018	256.049597648426	-1	1
"Pmin_ref_seq_5594"	242.442011297162	239.986905285924	-1	1
"Pmin_ref_seq_3292"	230.695030297009	228.252158742188	-1	1
"Pmin_ref_seq_3434"	197.562675028552	195.206953649449	-1	1
"Pmin_ref_seq_8996"	191.239533921363	188.903117697456	-1	1
"Pmin_ref_seq_7966"	190.948598626001	188.621522428348	-1	1
"Pmin_ref_seq_621"	189.860625768358	187.542692950145	-1	1
"Pmin_ref_seq_6055"	179.401192739394	177.100988688141	-1	1
"Pmin_ref_seq_3267"	174.61113014777	172.327959435817	-1	1
"Pmin_ref_seq_12"	151.690072166215	149.46904936101	-1	1
"Pmin_ref_seq_509"	150.914997123323	148.701152902745	-1	1
"Pmin_ref_seq_5623"	149.731930178592	147.525147812501	-1	1
"Pmin_ref_seq_36"	146.208292635372	144.022031936427	-1	1
"Pmin_ref_seq_689"	141.37650309375	139.216178128898	-1	1
"Pmin_ref_seq_7232"	131.304637037383	129.162795478226	-1	1
"Pmin_ref_seq_7326"	122.215562824587	120.079711629119	-1	1
"Pmin_ref_seq_2467"	120.472297800846	118.348185008649	-1	1
"Pmin_ref_seq_7984"	120.306113261958	118.18775279865	-1	1
"Pmin_ref_seq_8850"	118.646916596002	116.539837143104	-1	1
"Pmin_ref_seq_7039"	113.106129885628	111.031235116101	-1	1
"Pmin_ref_seq_379"	106.447986258872	104.388331455902	-1	1
"Pmin_ref_seq_6945"	106.367920855049	104.313229471611	-1	1
"Pmin_ref_seq_693"	103.619756668508	101.569972619565	-1	1
"Pmin_ref_seq_5169"	103.608336268333	101.563404722183	-1	1
"Pmin_ref_seq_7953"	102.668256036927	100.628123373659	-1	1
"Pmin_ref_seq_7341"	96.9554251492921	94.9385223267432	-1	1
"Pmin_ref_seq_1653"	96.9482393765994	94.9358370552772	-1	1
"Pmin_ref_seq_7210"	96.0246266125964	94.0297739307905	-1	1
"Pmin_ref_seq_5344"	94.0500464162822	92.0594725324556	-1	1
"Pmin_ref_seq_1077"	91.3571067428816	89.3873164649784	-1	1
"Pmin_ref_seq_4217"	87.6958451626128	85.7340976049649	-1	1
"Pmin_ref_seq_5559"	86.5081707823124	84.5503894118821	-1	1
"Pmin_ref_seq_3145"	82.5692121777238	80.6307359624889	-1	1
"Pmin_ref_seq_1224"	77.4990659005776	75.5790730910367	-1	1
"Pmin_ref_seq_299"	68.1185919942894	66.2497517071959	-1	1
"Pmin_ref_seq_7082"	67.7311650956025	65.8655299483842	-1	1
"Pmin_ref_seq_7905"	65.4055082190819	63.5555532761488	-1	1
"Pmin_ref_seq_5648"	64.967891848694	63.1210061374885	-1	1
"Pmin_ref_seq_6940"	63.5121441347283	61.6713325712351	-1	1
"Pmin_ref_seq_9266"	62.940375360307	61.1025693069535	-1	1
"Pmin_ref_seq_5505"	61.3410766712195	59.5062554714154	-1	1
"Pmin_ref_seq_3998"	59.301761166781	57.4872785420101	-1	1
"Pmin_ref_seq_7883"	59.0130316339871	57.2041892765689	-1	1
"Pmin_ref_seq_3048"	57.9929125463219	56.1951356150538	-1	1
"Pmin_ref_seq_9922"	56.2486056303779	54.4562574508212	-1	1
"Pmin_ref_seq_4239"	55.9386830533347	54.1490240122889	-1	1
"Pmin_ref_seq_3143"	55.824504531551	54.0375180803665	0	1
"Pmin_ref_seq_3276"	55.787898997089	54.0035687895482	-1	1
"Pmin_ref_seq_2228"	55.1794593040673	53.4030017196264	-1	1
"Pmin_ref_seq_9969"	53.8367285861809	52.0680034519707	-1	1
"Pmin_ref_seq_5236"	53.0369292005005	51.2732835918196	-1	1
"Pmin_ref_seq_5947"	52.4550328458575	50.6964080385517	-1	1
"Pmin_ref_seq_5558"	51.812278871225	50.0586174834506	-1	1
"Pmin_ref_seq_4186"	51.0681466656312	49.3266511849119	-1	1
"Pmin_ref_seq_5340"	49.8874113920227	48.1600789429707	-1	1
"Pmin_ref_seq_4978"	49.3477294540419	47.6250172026267	-1	1
"Pmin_ref_seq_1797"	46.7785831149551	45.0604424266143	-1	1
"Pmin_ref_seq_1045"	45.7968220752019	44.0832053286212	-1	1
"Pmin_ref_seq_7915"	42.8487894661722	41.1506454062477	-1	1
"Pmin_ref_seq_3982"	42.7183759905649	41.0223979923969	-1	1
"Pmin_ref_seq_1138"	42.6092297822005	40.9175517645253	-1	1
"Pmin_ref_seq_9820"	42.2709586258472	40.5835384313145	-1	1
"Pmin_ref_seq_4688"	41.8324373179047	40.1492336077732	-1	1
"Pmin_ref_seq_7846"	41.3023611117911	39.6315666596414	-1	1
