"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Infected_fem"	"Infected_male"
"Pmin_ref_seq_6128"	317.502956983152	313.503782927563	NA	-1
"Pmin_ref_seq_171"	300	297.415799292382	-1	1
"Pmin_ref_seq_254"	300	297.415799292382	-1	1
"Pmin_ref_seq_319"	300	297.415799292382	-1	1
"Pmin_ref_seq_559"	300	297.415799292382	-1	NA
"Pmin_ref_seq_788"	300	297.415799292382	-1	1
"Pmin_ref_seq_875"	300	297.415799292382	NA	NA
"Pmin_ref_seq_1037"	300	297.415799292382	-1	1
"Pmin_ref_seq_1042"	300	297.415799292382	-1	1
"Pmin_ref_seq_1276"	300	297.415799292382	-1	1
"Pmin_ref_seq_1557"	300	297.415799292382	-1	1
"Pmin_ref_seq_2941"	300	297.415799292382	-1	0
"Pmin_ref_seq_3179"	300	297.415799292382	-1	1
"Pmin_ref_seq_3187"	300	297.415799292382	-1	NA
"Pmin_ref_seq_3249"	300	297.415799292382	1	-1
"Pmin_ref_seq_3436"	300	297.415799292382	1	NA
"Pmin_ref_seq_3873"	300	297.415799292382	1	0
"Pmin_ref_seq_5378"	300	297.415799292382	-1	NA
"Pmin_ref_seq_5432"	300	297.415799292382	1	-1
"Pmin_ref_seq_5531"	300	297.415799292382	-1	1
"Pmin_ref_seq_6151"	300	297.415799292382	-1	NA
"Pmin_ref_seq_6741"	300	297.415799292382	1	-1
"Pmin_ref_seq_7493"	300	297.415799292382	-1	NA
"Pmin_ref_seq_7998"	300	297.415799292382	1	NA
"Pmin_ref_seq_8020"	300	297.415799292382	-1	1
"Pmin_ref_seq_8815"	300	297.415799292382	1	-1
"Pmin_ref_seq_9005"	289.849221094603	287.281410803174	-1	0
"Pmin_ref_seq_2488"	270.607404407147	268.055388382901	-1	NA
"Pmin_ref_seq_709"	266.903905061355	264.367129003665	NA	NA
"Pmin_ref_seq_6117"	265.65325295759	263.131200156721	-1	NA
"Pmin_ref_seq_3098"	258.55741001018	256.049597648426	-1	1
"Pmin_ref_seq_2867"	255.925529495155	253.431505417886	NA	-1
"Pmin_ref_seq_7056"	249.137998885788	246.657338770077	-1	0
