"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Healthy_male"	"Infected_male"
"Pmin_ref_seq_5612"	318.191180944776	314.669128143907	1	-1
"Pmin_ref_seq_5102"	308.852381707037	305.698305691462	1	-1
"Pmin_ref_seq_9693"	303.293970920365	300.294796864776	1	-1
"Pmin_ref_seq_854"	300	298.069011806158	1	-1
"Pmin_ref_seq_1123"	300	298.069011806158	1	-1
"Pmin_ref_seq_1984"	300	298.069011806158	1	-1
"Pmin_ref_seq_2393"	300	298.069011806158	1	-1
"Pmin_ref_seq_2591"	300	298.069011806158	1	-1
"Pmin_ref_seq_2969"	300	298.069011806158	1	-1
"Pmin_ref_seq_3547"	300	298.069011806158	1	-1
"Pmin_ref_seq_4060"	300	298.069011806158	1	-1
"Pmin_ref_seq_4288"	300	298.069011806158	1	-1
"Pmin_ref_seq_4923"	300	298.069011806158	1	-1
"Pmin_ref_seq_5005"	300	298.069011806158	1	-1
"Pmin_ref_seq_5089"	300	298.069011806158	1	-1
"Pmin_ref_seq_5101"	300	298.069011806158	1	-1
"Pmin_ref_seq_5432"	300	298.069011806158	1	-1
"Pmin_ref_seq_5673"	300	298.069011806158	1	-1
"Pmin_ref_seq_5875"	300	298.069011806158	1	-1
"Pmin_ref_seq_6269"	300	298.069011806158	1	-1
"Pmin_ref_seq_6710"	300	298.069011806158	1	-1
"Pmin_ref_seq_6731"	300	298.069011806158	1	-1
"Pmin_ref_seq_7526"	300	298.069011806158	1	-1
"Pmin_ref_seq_7680"	300	298.069011806158	1	-1
"Pmin_ref_seq_7734"	300	298.069011806158	1	-1
"Pmin_ref_seq_7802"	300	298.069011806158	1	-1
"Pmin_ref_seq_8165"	300	298.069011806158	1	-1
"Pmin_ref_seq_8172"	300	298.069011806158	1	-1
"Pmin_ref_seq_8201"	300	298.069011806158	1	-1
"Pmin_ref_seq_8264"	300	298.069011806158	1	-1
"Pmin_ref_seq_8371"	300	298.069011806158	1	-1
"Pmin_ref_seq_8618"	300	298.069011806158	1	-1
"Pmin_ref_seq_8675"	300	298.069011806158	1	-1
"Pmin_ref_seq_8837"	300	298.069011806158	1	-1
"Pmin_ref_seq_8908"	300	298.069011806158	1	-1
"Pmin_ref_seq_9677"	300	298.069011806158	1	-1
"Pmin_ref_seq_9678"	300	298.069011806158	1	-1
"Pmin_ref_seq_9702"	300	298.069011806158	1	-1
"Pmin_ref_seq_9953"	300	298.069011806158	1	-1
"Pmin_ref_seq_9980"	300	298.069011806158	1	-1
"Pmin_ref_seq_6729"	287.472378981789	285.566626611363	1	-1
"Pmin_ref_seq_7581"	287.287843083695	285.385579041115	1	-1
"Pmin_ref_seq_4277"	273.091495647524	271.212895523141	1	-1
"Pmin_ref_seq_2773"	263.731494561218	261.856172146597	1	-1
"Pmin_ref_seq_5185"	263.459518539202	261.590678252108	1	-1
"Pmin_ref_seq_6552"	256.862402252861	255.018564234738	1	-1
"Pmin_ref_seq_7498"	254.784602452829	252.946796399476	1	-1
"Pmin_ref_seq_4441"	247.756533597203	245.924676876362	1	-1
"Pmin_ref_seq_543"	239.699084258055	237.870171917861	1	-1
"Pmin_ref_seq_5071"	231.425778524216	229.611295899445	1	-1
"Pmin_ref_seq_8677"	221.251309817244	219.44526036001	1	-1
"Pmin_ref_seq_7783"	203.572827046228	201.785840595044	1	-1
"Pmin_ref_seq_6694"	189.661841892702	187.900713940243	1	-1
"Pmin_ref_seq_4509"	180.187318528709	178.450595562851	1	-1
"Pmin_ref_seq_1013"	169.556902479483	167.849984495251	1	-1
"Pmin_ref_seq_1548"	165.831205385758	164.133061325833	1	-1
"Pmin_ref_seq_3936"	162.216349685376	160.522526999235	1	-1
"Pmin_ref_seq_2106"	162.101847718002	160.410169700326	1	-1
"Pmin_ref_seq_9766"	161.633052708444	159.945632513911	1	-1
"Pmin_ref_seq_7508"	152.583040848953	150.924310908204	1	-1
"Pmin_ref_seq_5303"	149.941041383665	148.288220302527	1	-1
"Pmin_ref_seq_8821"	144.787771282766	143.154085212068	1	-1
"Pmin_ref_seq_6046"	141.861442760105	140.237017050527	1	-1
"Pmin_ref_seq_4695"	141.725936230337	140.103339131805	1	-1
"Pmin_ref_seq_7698"	125.814518751685	124.236948622966	1	-1
"Pmin_ref_seq_3711"	119.142239559378	117.583974585855	1	-1
"Pmin_ref_seq_6065"	118.034478250782	116.479348991111	1	-1
"Pmin_ref_seq_3110"	117.133741323003	115.581660983948	1	-1
"Pmin_ref_seq_5726"	108.034735553646	106.509777762133	1	-1
"Pmin_ref_seq_5310"	107.912406148844	106.38890328158	1	-1
"Pmin_ref_seq_6758"	106.963434122549	105.44138132168	1	-1
"Pmin_ref_seq_4843"	103.56812873168	102.056093051569	1	-1
"Pmin_ref_seq_6498"	102.9000873034	101.390871727236	1	-1
"Pmin_ref_seq_3794"	102.003150315154	100.503663342184	1	-1
"Pmin_ref_seq_6807"	99.7435153429992	98.2481319704679	1	0
"Pmin_ref_seq_9688"	98.8611711645086	97.3698529806159	1	-1
"Pmin_ref_seq_6723"	96.8932375256092	95.4046084802273	1	-1
"Pmin_ref_seq_9906"	96.8200798601277	95.3327891655181	1	-1
"Pmin_ref_seq_7394"	96.678778582689	95.1928221271684	1	-1
"Pmin_ref_seq_9665"	92.2642763368115	90.7901470882599	1	-1
"Pmin_ref_seq_8258"	87.1920468459664	85.7332022651687	1	-1
"Pmin_ref_seq_7776"	85.411921019299	83.9592896271887	1	-1
"Pmin_ref_seq_5467"	82.8667882360348	81.4263227509795	1	-1
"Pmin_ref_seq_3740"	82.3664621899706	80.9307692197766	1	-1
"Pmin_ref_seq_3658"	81.2776163003322	79.8442900634173	1	-1
"Pmin_ref_seq_6168"	79.5597734045234	78.1334709511354	1	-1
"Pmin_ref_seq_3581"	78.8681153937829	77.4464331380316	1	-1
"Pmin_ref_seq_8824"	78.4825351069667	77.0642860270539	1	-1
"Pmin_ref_seq_2068"	77.8612934814572	76.4441827887805	1	-1
"Pmin_ref_seq_6631"	77.2101667102259	75.7953238790049	1	-1
"Pmin_ref_seq_4135"	75.9836350488338	74.5755256002718	1	-1
"Pmin_ref_seq_5405"	74.2412321626975	72.8386552027355	1	-1
"Pmin_ref_seq_2189"	73.6453865534529	72.24390768379	1	-1
