GO.ID	Term	Annotated	Significant	Expected	classicFisher
GO:0002181	cytoplasmic translation	430	67	16.5	4.0e-26
GO:0006412	translation	873	78	33.5	3.9e-15
GO:0043043	peptide biosynthetic process	900	78	34.53	2.3e-14
GO:0006614	SRP-dependent cotranslational protein ta...	272	40	10.44	2.8e-14
GO:0006613	cotranslational protein targeting to mem...	277	40	10.63	5.3e-14
GO:0006518	peptide metabolic process	990	81	37.99	1.5e-13
GO:0072594	establishment of protein localization to...	517	55	19.84	2.4e-13
GO:0045047	protein targeting to ER	291	40	11.17	2.9e-13
GO:0072599	establishment of protein localization to...	295	40	11.32	4.6e-13
GO:0043604	amide biosynthetic process	954	78	36.6	6.4e-13
GO:0070972	protein localization to endoplasmic reti...	313	41	12.01	7.1e-13
GO:0006605	protein targeting	420	48	16.12	9.3e-13
GO:0000184	nuclear-transcribed mRNA catabolic proce...	306	40	11.74	1.6e-12
GO:0006612	protein targeting to membrane	308	40	11.82	1.9e-12
GO:0090150	establishment of protein localization to...	367	44	14.08	2.0e-12
GO:0006413	translational initiation	386	45	14.81	2.9e-12
GO:0033365	protein localization to organelle	663	60	25.44	1.9e-11
GO:0000956	nuclear-transcribed mRNA catabolic proce...	364	42	13.97	2.6e-11
GO:0043603	cellular amide metabolic process	1111	82	42.63	3.5e-11
GO:0006402	mRNA catabolic process	479	48	18.38	1.2e-10
GO:1901566	organonitrogen compound biosynthetic pro...	1355	91	51.99	2.8e-10
GO:0006401	RNA catabolic process	492	48	18.88	3.1e-10
GO:0044271	cellular nitrogen compound biosynthetic ...	1935	114	74.24	6.3e-10
GO:0072657	protein localization to membrane	470	46	18.03	7.4e-10
GO:0034655	nucleobase-containing compound catabolic...	608	52	23.33	5.7e-09
GO:0044270	cellular nitrogen compound catabolic pro...	639	53	24.52	1.1e-08
GO:0051668	localization within membrane	512	46	19.65	1.2e-08
GO:0046700	heterocycle catabolic process	626	52	24.02	1.6e-08
GO:1901361	organic cyclic compound catabolic proces...	651	53	24.98	2.2e-08
GO:0019439	aromatic compound catabolic process	634	52	24.33	2.5e-08
GO:0016071	mRNA metabolic process	763	58	29.28	4.7e-08
GO:0034645	cellular macromolecule biosynthetic proc...	1786	102	68.53	1.5e-07
GO:0006886	intracellular protein transport	788	57	30.24	3.8e-07
GO:0042273	ribosomal large subunit biogenesis	144	20	5.53	3.9e-07
GO:0009059	macromolecule biosynthetic process	1827	102	70.1	5.6e-07
GO:0034641	cellular nitrogen compound metabolic pro...	2553	129	97.96	6.6e-07
GO:0042255	ribosome assembly	140	19	5.37	1.1e-06
GO:1901576	organic substance biosynthetic process	2326	120	89.25	1.3e-06
GO:0046907	intracellular transport	1189	74	45.62	1.5e-06
GO:0044249	cellular biosynthetic process	2288	118	87.79	2.0e-06
GO:0009058	biosynthetic process	2345	120	89.98	2.2e-06
GO:0042254	ribosome biogenesis	327	30	12.55	4.7e-06
