go	cluster	parent	parentSimScore	score	size	term	parentTerm
GO:0002181	1	GO:0002181	0.995	25.397940008672	199	cytoplasmic translation	cytoplasmic translation
GO:0006412	1	GO:0002181	0.784	14.4089353929735	545	translation	cytoplasmic translation
GO:0043043	1	GO:0002181	0.776	13.6382721639824	0	peptide biosynthetic process	cytoplasmic translation
GO:0006614	2	GO:0006614	1	13.5528419686578	9	SRP-dependent cotranslational protein targeting to membrane	SRP-dependent cotranslational protein targeting to membrane
GO:0006613	2	GO:0006614	1	13.2757241303992	0	cotranslational protein targeting to membrane	SRP-dependent cotranslational protein targeting to membrane
GO:0006518	1	GO:0002181	0.759	12.8239087409443	6	peptide metabolic process	cytoplasmic translation
GO:0072594	2	GO:0006614	0.79	12.6197887582884	2	establishment of protein localization to organelle	SRP-dependent cotranslational protein targeting to membrane
GO:0045047	2	GO:0006614	0.948	12.537602002101	8	protein targeting to ER	SRP-dependent cotranslational protein targeting to membrane
GO:0072599	2	GO:0006614	0.946	12.3372421683184	0	establishment of protein localization to endoplasmic reticulum	SRP-dependent cotranslational protein targeting to membrane
GO:0043604	1	GO:0002181	0.77	12.1938200260161	0	amide biosynthetic process	cytoplasmic translation
GO:0070972	2	GO:0006614	0.934	12.1487416512809	0	protein localization to endoplasmic reticulum	SRP-dependent cotranslational protein targeting to membrane
GO:0006605	2	GO:0006614	0.824	12.0315170514461	4	protein targeting	SRP-dependent cotranslational protein targeting to membrane
GO:0000184	3	GO:0000184	0.999	11.7958800173441	27	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0006612	2	GO:0006614	0.916	11.7212463990472	26	protein targeting to membrane	SRP-dependent cotranslational protein targeting to membrane
GO:0090150	2	GO:0006614	0.854	11.698970004336	0	establishment of protein localization to membrane	SRP-dependent cotranslational protein targeting to membrane
GO:0006413	1	GO:0002181	0.613	11.537602002101	59	translational initiation	cytoplasmic translation
GO:0033365	2	GO:0006614	0.756	10.7212463990472	2	protein localization to organelle	SRP-dependent cotranslational protein targeting to membrane
GO:0000956	3	GO:0000184	0.894	10.5850266520292	10	nuclear-transcribed mRNA catabolic process	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0043603	1	GO:0002181	0.748	10.4559319556497	0	cellular amide metabolic process	cytoplasmic translation
GO:0006402	3	GO:0000184	0.858	9.92081875395237	22	mRNA catabolic process	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:1901566	4	GO:1901566	0.954	9.55284196865778	0	organonitrogen compound biosynthetic process	organonitrogen compound biosynthetic process
GO:0006401	3	GO:0000184	0.831	9.50863830616573	8	RNA catabolic process	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0044271	4	GO:1901566	0.717	9.20065945054642	0	cellular nitrogen compound biosynthetic process	organonitrogen compound biosynthetic process
GO:0072657	2	GO:0006614	0.806	9.13076828026902	9	protein localization to membrane	SRP-dependent cotranslational protein targeting to membrane
GO:0034655	3	GO:0000184	0.805	8.24412514432751	0	nucleobase-containing compound catabolic process	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0044270	3	GO:0000184	0.798	7.95860731484177	0	cellular nitrogen compound catabolic process	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0051668	2	GO:0006614	0.783	7.92081875395237	1	localization within membrane	SRP-dependent cotranslational protein targeting to membrane
GO:0046700	3	GO:0000184	0.798	7.79588001734407	0	heterocycle catabolic process	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:1901361	3	GO:0000184	0.792	7.65757731917779	0	organic cyclic compound catabolic process	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0019439	3	GO:0000184	0.795	7.60205999132796	0	aromatic compound catabolic process	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0016071	5	GO:0016071	0.982	7.32790214206428	0	mRNA metabolic process	mRNA metabolic process
GO:0034645	1	GO:0002181	0.749	6.82390874094432	0	cellular macromolecule biosynthetic process	cytoplasmic translation
GO:0006886	2	GO:0006614	0.737	6.42021640338319	117	intracellular protein transport	SRP-dependent cotranslational protein targeting to membrane
GO:0042273	6	GO:0042273	0.999	6.4089353929735	19	ribosomal large subunit biogenesis	ribosomal large subunit biogenesis
GO:0009059	4	GO:1901566	0.719	6.2518119729938	0	macromolecule biosynthetic process	organonitrogen compound biosynthetic process
GO:0034641	5	GO:0016071	0.554	6.18045606445813	0	cellular nitrogen compound metabolic process	mRNA metabolic process
GO:0042255	6	GO:0042273	0.741	5.95860731484177	2	ribosome assembly	ribosomal large subunit biogenesis
GO:1901576	4	GO:1901566	0.748	5.88605664769316	0	organic substance biosynthetic process	organonitrogen compound biosynthetic process
GO:0046907	2	GO:0006614	0.623	5.82390874094432	20	intracellular transport	SRP-dependent cotranslational protein targeting to membrane
GO:0044249	4	GO:1901566	0.742	5.69897000433602	0	cellular biosynthetic process	organonitrogen compound biosynthetic process
GO:0009058	4	GO:1901566	0.746	5.65757731917779	11	biosynthetic process	organonitrogen compound biosynthetic process
GO:0042254	6	GO:0042273	0.857	5.32790214206428	15	ribosome biogenesis	ribosomal large subunit biogenesis
GO:0010467	7	GO:0010467	0.873	5.10237290870956	2	gene expression	gene expression
GO:0010629	8	GO:0010629	0.984	5.04575749056067	78	negative regulation of gene expression	negative regulation of gene expression
GO:0044265	3	GO:0000184	0.698	5.04095860767891	0	cellular macromolecule catabolic process	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0007006	9	GO:0007006	0.999	4.61978875828839	5	mitochondrial membrane organization	mitochondrial membrane organization
GO:0009057	3	GO:0000184	0.673	4.46852108295774	0	macromolecule catabolic process	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0008340	10	GO:0008340	0.996	4.43179827593301	183	determination of adult lifespan	determination of adult lifespan
GO:0000027	6	GO:0042273	0.912	4.42021640338319	16	ribosomal large subunit assembly	ribosomal large subunit biogenesis
GO:0006839	2	GO:0006614	0.516	4.31875876262441	10	mitochondrial transport	SRP-dependent cotranslational protein targeting to membrane
GO:0031113	9	GO:0007006	0.315	4.17392519729917	0	regulation of microtubule polymerization	mitochondrial membrane organization
GO:0010259	11	GO:0010259	1	4.13667713987954	4	multicellular organism aging	multicellular organism aging
GO:0051649	2	GO:0006614	0.586	3.95860731484178	0	establishment of localization in cell	SRP-dependent cotranslational protein targeting to membrane
GO:0031396	12	GO:0031396	0.999	3.95860731484178	4	regulation of protein ubiquitination	regulation of protein ubiquitination
GO:0046785	9	GO:0007006	0.35	3.85387196432176	8	microtubule polymerization	mitochondrial membrane organization
GO:0022613	6	GO:0042273	0.828	3.67778070526608	0	ribonucleoprotein complex biogenesis	ribosomal large subunit biogenesis
GO:0010605	8	GO:0010629	0.894	3.60205999132796	0	negative regulation of macromolecule metabolic process	negative regulation of gene expression
GO:0022618	13	GO:0022618	0.997	3.60205999132796	5	ribonucleoprotein complex assembly	ribonucleoprotein complex assembly
GO:0015031	2	GO:0006614	0.703	3.56863623584101	36	protein transport	SRP-dependent cotranslational protein targeting to membrane
GO:0045184	2	GO:0006614	0.697	3.50863830616573	7	establishment of protein localization	SRP-dependent cotranslational protein targeting to membrane
GO:0031397	12	GO:0031396	0.911	3.50863830616573	2	negative regulation of protein ubiquitination	regulation of protein ubiquitination
GO:0015833	14	GO:0015833	1	3.45593195564972	0	peptide transport	peptide transport
