"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Healthy_male"	"Infected_male"
"Pmin_ref_seq_7302"	323.306215343116	319.307041287527	-1	1
"Pmin_ref_seq_2867"	319.737544365106	316.039400305181	-1	1
"Pmin_ref_seq_7367"	313.539243821302	310.23903977005	-1	1
"Pmin_ref_seq_3143"	309.914410500848	306.693387695643	-1	1
"Pmin_ref_seq_578"	303.465969931269	300.42103838512	-1	1
"Pmin_ref_seq_12"	300	298.069011806158	-1	1
"Pmin_ref_seq_36"	300	298.069011806158	-1	1
"Pmin_ref_seq_98"	300	298.069011806158	-1	1
"Pmin_ref_seq_171"	300	298.069011806158	-1	1
"Pmin_ref_seq_175"	300	298.069011806158	-1	1
"Pmin_ref_seq_254"	300	298.069011806158	-1	1
"Pmin_ref_seq_319"	300	298.069011806158	-1	1
"Pmin_ref_seq_379"	300	298.069011806158	-1	1
"Pmin_ref_seq_388"	300	298.069011806158	-1	1
"Pmin_ref_seq_509"	300	298.069011806158	-1	1
"Pmin_ref_seq_559"	300	298.069011806158	-1	1
"Pmin_ref_seq_621"	300	298.069011806158	-1	1
"Pmin_ref_seq_709"	300	298.069011806158	-1	1
"Pmin_ref_seq_788"	300	298.069011806158	-1	1
"Pmin_ref_seq_875"	300	298.069011806158	-1	1
"Pmin_ref_seq_1037"	300	298.069011806158	-1	1
"Pmin_ref_seq_1042"	300	298.069011806158	-1	1
"Pmin_ref_seq_1077"	300	298.069011806158	-1	1
"Pmin_ref_seq_1276"	300	298.069011806158	-1	1
"Pmin_ref_seq_1557"	300	298.069011806158	-1	1
"Pmin_ref_seq_2228"	300	298.069011806158	-1	1
"Pmin_ref_seq_3098"	300	298.069011806158	-1	1
"Pmin_ref_seq_3145"	300	298.069011806158	-1	1
"Pmin_ref_seq_3179"	300	298.069011806158	-1	1
"Pmin_ref_seq_3292"	300	298.069011806158	-1	1
"Pmin_ref_seq_3434"	300	298.069011806158	-1	1
"Pmin_ref_seq_3436"	300	298.069011806158	-1	1
"Pmin_ref_seq_4994"	300	298.069011806158	-1	1
"Pmin_ref_seq_5169"	300	298.069011806158	-1	1
"Pmin_ref_seq_5559"	300	298.069011806158	-1	1
"Pmin_ref_seq_5594"	300	298.069011806158	-1	1
"Pmin_ref_seq_5623"	300	298.069011806158	-1	1
"Pmin_ref_seq_5947"	300	298.069011806158	-1	1
"Pmin_ref_seq_5952"	300	298.069011806158	-1	1
