"GeneIDs"	"GL_LPV"	"Corr. GL_LPV"	"Healthy_male"	"Infected_male"
"Pmin_ref_seq_7302"	323.306215343116	319.307041287527	-1	1
"Pmin_ref_seq_2867"	319.737544365106	316.039400305181	-1	1
"Pmin_ref_seq_5612"	318.191180944776	314.669128143907	1	-1
"Pmin_ref_seq_3829"	314.2619553165	310.86484125224	0	-1
"Pmin_ref_seq_7367"	313.539243821302	310.23903977005	-1	1
"Pmin_ref_seq_3143"	309.914410500848	306.693387695643	-1	1
"Pmin_ref_seq_5102"	308.852381707037	305.698305691462	1	-1
"Pmin_ref_seq_6117"	305.722269306316	302.626185237719	-1	0
"Pmin_ref_seq_578"	303.465969931269	300.42103838512	-1	1
"Pmin_ref_seq_9693"	303.293970920365	300.294796864776	1	-1
"Pmin_ref_seq_12"	300	298.069011806158	-1	1
"Pmin_ref_seq_36"	300	298.069011806158	-1	1
"Pmin_ref_seq_98"	300	298.069011806158	-1	1
"Pmin_ref_seq_171"	300	298.069011806158	-1	1
"Pmin_ref_seq_175"	300	298.069011806158	-1	1
"Pmin_ref_seq_254"	300	298.069011806158	-1	1
"Pmin_ref_seq_319"	300	298.069011806158	-1	1
"Pmin_ref_seq_379"	300	298.069011806158	-1	1
"Pmin_ref_seq_388"	300	298.069011806158	-1	1
"Pmin_ref_seq_509"	300	298.069011806158	-1	1
"Pmin_ref_seq_559"	300	298.069011806158	-1	1
"Pmin_ref_seq_567"	300	298.069011806158	0	-1
"Pmin_ref_seq_621"	300	298.069011806158	-1	1
"Pmin_ref_seq_709"	300	298.069011806158	-1	1
"Pmin_ref_seq_788"	300	298.069011806158	-1	1
"Pmin_ref_seq_854"	300	298.069011806158	1	-1
"Pmin_ref_seq_875"	300	298.069011806158	-1	1
"Pmin_ref_seq_1037"	300	298.069011806158	-1	1
"Pmin_ref_seq_1042"	300	298.069011806158	-1	1
"Pmin_ref_seq_1077"	300	298.069011806158	-1	1
"Pmin_ref_seq_1123"	300	298.069011806158	1	-1
"Pmin_ref_seq_1276"	300	298.069011806158	-1	1
"Pmin_ref_seq_1557"	300	298.069011806158	-1	1
"Pmin_ref_seq_1984"	300	298.069011806158	1	-1
"Pmin_ref_seq_2228"	300	298.069011806158	-1	1
"Pmin_ref_seq_2393"	300	298.069011806158	1	-1
"Pmin_ref_seq_2488"	300	298.069011806158	-1	0
"Pmin_ref_seq_2591"	300	298.069011806158	1	-1
"Pmin_ref_seq_2745"	300	298.069011806158	0	-1
