Name,healthy_fem,infected_fem,healthy_male,infected_male
Pmin_ref_seq_1,1.195397,2.247898,1.1927995,0.1905465
Pmin_ref_seq_2,0.0,2.267296,0.0,2.38437
Pmin_ref_seq_3,0.0,52.8853515,0.0,94.956568
Pmin_ref_seq_4,2.039373,1.5397095,2.0181115,1.329119
Pmin_ref_seq_5,0.0,5.149662,6.408824,9.893324
Pmin_ref_seq_6,0.0,1.4913445,2.280203,2.4974145
Pmin_ref_seq_7,0.0,64.7213695,0.0,120.76802
Pmin_ref_seq_8,0.0,0.0434335,0.8231175,2.110436
Pmin_ref_seq_9,0.0,2.310964,0.0,2.8485765
Pmin_ref_seq_10,0.0,5.2277725,0.0,4.7406375
Pmin_ref_seq_11,0.0,5.1614245,0.0,2.2567175
Pmin_ref_seq_12,0.0,1740.995849,0.0,2919.199861
Pmin_ref_seq_13,0.0,0.1880899999999999,0.0,3.6687815
Pmin_ref_seq_14,0.321983,2.4558045,1.5175695,1.441155
Pmin_ref_seq_15,0.197775,2.017659,2.5416925,2.190522
Pmin_ref_seq_16,0.0,0.363706,0.0,2.4542455
Pmin_ref_seq_17,19.524254,17.109679,38.431124,12.3683235
Pmin_ref_seq_18,0.0,49.934435,0.0,3.0965125
Pmin_ref_seq_19,0.766387,3.7090135,3.7406085,3.5833
Pmin_ref_seq_20,0.0,4.175781499999999,0.0,2.2370595
Pmin_ref_seq_21,0.0,7.284125,0.5435345,15.0737755
Pmin_ref_seq_22,0.0,1.0907425,0.0,2.994695
Pmin_ref_seq_23,0.0,0.570986,0.0,2.0607975
Pmin_ref_seq_24,0.0,0.8900729999999999,0.0,2.9302170000000003
Pmin_ref_seq_25,6.11487,4.037945,4.7874415,2.9718210000000003
Pmin_ref_seq_26,0.0,19.716816,18.7512175,19.9176415
Pmin_ref_seq_27,0.0,100.5623545,0.0,143.1913835
Pmin_ref_seq_28,0.0,0.664893,0.0,3.1991955
Pmin_ref_seq_29,2.487651,1.5511565,3.0636305000000004,1.325994
Pmin_ref_seq_30,2.580216,0.975758,1.718236,0.7023775
Pmin_ref_seq_31,0.0,0.908684,2.2674925,1.1352645
Pmin_ref_seq_32,0.0,5.4805565000000005,0.0,11.931512
Pmin_ref_seq_33,0.0,6.0220845,0.0,4.4791545
Pmin_ref_seq_34,2.398189,14.8365865,11.04137,11.1704345
Pmin_ref_seq_35,0.0,0.5820955,0.0,2.208982
Pmin_ref_seq_36,0.0,112.305407,0.0,562.7792055
Pmin_ref_seq_37,0.0,2.413243,0.0,3.019994
Pmin_ref_seq_38,0.0,0.196745,0.0,2.060525
Pmin_ref_seq_39,0.0,13.241834,0.0104305,0.517846
Pmin_ref_seq_40,0.24462,0.8771755,2.283258,0.8233485
Pmin_ref_seq_41,0.0,12.7532795,2.610736,0.070228
Pmin_ref_seq_42,0.206538,4.9166035,4.4404375,0.8326015
Pmin_ref_seq_43,0.0,3.238365,0.0,13.162713
Pmin_ref_seq_44,0.699978,2.643249,1.0531579999999998,0.8947039999999999
Pmin_ref_seq_45,0.0,3.787919,0.0,3.5134030000000003
Pmin_ref_seq_46,0.0,3.9669765,0.0,5.0761755
Pmin_ref_seq_47,5.508304,4.3722035,3.8774235,5.5950445
Pmin_ref_seq_48,0.0,0.7283725,0.0,2.8774465
Pmin_ref_seq_49,0.0,3.9696845,0.0,2.8344235
Pmin_ref_seq_50,0.0,3.0430875,0.0,4.242972
Pmin_ref_seq_51,0.0,2.2003685,0.0,4.4510425
Pmin_ref_seq_52,0.741531,220.4232,364.346394,322.581631
Pmin_ref_seq_53,0.0,3.1825915,0.0,13.550729
Pmin_ref_seq_54,0.097714,7.603101,30.046033,3.5445425
Pmin_ref_seq_55,0.0,2.3870265,0.0,3.8471735
Pmin_ref_seq_56,2.592408,1.0211835,2.7615425,0.4342255
Pmin_ref_seq_57,0.0,8.01253,0.0,32.0089975
Pmin_ref_seq_58,0.0,1.897166,0.0,2.154213
Pmin_ref_seq_59,1.107425,1.756425,2.195628,1.7912755
Pmin_ref_seq_60,1.685552,4.258723,4.1198645,2.73393
Pmin_ref_seq_61,268.492856,35.7689425,37.4889065,37.2876855
Pmin_ref_seq_62,0.0,0.5881175000000001,0.0,3.7686925
Pmin_ref_seq_63,0.0,2.1560105,0.0,2.3195345
Pmin_ref_seq_64,0.667788,3.6418455,6.0128105000000005,9.434121
Pmin_ref_seq_65,0.0,7.211299,0.0,31.162213
Pmin_ref_seq_66,0.0,3.087491,0.0,3.9055845
Pmin_ref_seq_67,60.460973,47.820406000000006,74.614756,33.781249
Pmin_ref_seq_68,2.748439,3.2624215000000003,1.7550435000000002,1.8149575
Pmin_ref_seq_69,0.0,4.0077905000000005,0.0,5.634685
Pmin_ref_seq_70,1.641753,1.5994585,2.7849725,1.9455125
Pmin_ref_seq_71,0.650237,2.707268,3.07816,0.325427
Pmin_ref_seq_72,0.0,2.123634,0.0,4.671859
Pmin_ref_seq_73,3.469122,1.7850335,4.8174565,1.798952
Pmin_ref_seq_74,0.0,2.3879315,0.0,0.6025255
Pmin_ref_seq_75,0.0,9.5664465,0.0,11.5402235
Pmin_ref_seq_76,18.539215,53.149019,75.038309,27.3064335
Pmin_ref_seq_77,0.0,1.9428755,0.0,2.9070055
Pmin_ref_seq_78,0.861072,16.973561,22.82503,62.5030185
Pmin_ref_seq_79,5.910557,0.0,2.7606585,0.0
Pmin_ref_seq_80,0.941786,2.9862625,3.6911295,1.9666935
Pmin_ref_seq_81,0.0,2.297617,0.0,1.469247
Pmin_ref_seq_82,0.0,1.5936855,0.0,3.4064425
Pmin_ref_seq_83,0.0,3.9287185,0.0,4.957631
Pmin_ref_seq_84,0.945844,7.245844,4.274292,5.465574
Pmin_ref_seq_85,0.0,2.2559975,0.0,2.9849825
Pmin_ref_seq_86,0.376623,2.034511,0.0823865,1.1565445
Pmin_ref_seq_87,0.0,5.802035999999999,0.0,2.8840095
Pmin_ref_seq_88,0.0,6.004828000000001,0.0,0.1069524999999999
Pmin_ref_seq_89,0.0,5.3862465,0.0,9.534916
Pmin_ref_seq_90,7.110961,3.634577,5.978247,1.6493975
Pmin_ref_seq_91,1.105012,0.057641,3.482177,0.2688155
Pmin_ref_seq_92,0.0,1.2490335,0.0,3.4376585
Pmin_ref_seq_93,0.655003,2.486648,2.1902675,1.5715059999999998
Pmin_ref_seq_94,4.459807,7.0789365,11.251882,7.802533
Pmin_ref_seq_95,0.0,0.72271,0.0,2.474138
Pmin_ref_seq_96,0.0,4.511842,0.0,5.5902125
Pmin_ref_seq_97,0.0,2.56969,0.0,3.4820900000000004
Pmin_ref_seq_98,0.0,193.2730725,0.0,510.3958945
Pmin_ref_seq_99,2.379849,1.2535124999999998,1.30029,3.771073
Pmin_ref_seq_100,0.0,3.0081415,3.3934305,2.483459
Pmin_ref_seq_101,0.811757,3.15693,4.4389555,2.0433205
Pmin_ref_seq_102,0.0,109.030398,0.0,141.016053
Pmin_ref_seq_103,3.608209,5.447671,15.128149,2.9097935
Pmin_ref_seq_104,2.491025,5.473879500000001,2.7413855,6.125935500000001
Pmin_ref_seq_105,0.0,3.462134,0.0,0.9527535
Pmin_ref_seq_106,0.362683,0.7987345,3.102835,1.6272855
Pmin_ref_seq_107,0.0,0.4076185,0.0,11.191369
Pmin_ref_seq_108,1.72856,3.0342505,3.069338,2.6396255
Pmin_ref_seq_109,1.359376,3.3123515,2.001715,1.7520965
Pmin_ref_seq_110,0.0,32.918573,0.0,74.2901725
Pmin_ref_seq_111,6.03404,5.226286,3.290957,2.5235755
Pmin_ref_seq_112,0.058773,1.9049285,0.0,7.6099785
Pmin_ref_seq_113,1.552455,3.110983,8.62998,2.8567485
Pmin_ref_seq_114,4.307969,42.1035015,27.7366075,26.849932
Pmin_ref_seq_115,0.0,0.0223015,3.9073755,0.0
Pmin_ref_seq_116,0.668819,3.9449895,2.7483415,2.536865
Pmin_ref_seq_117,0.0,3.0115805,0.0,4.407991
Pmin_ref_seq_118,0.0,5.5370285,0.0,11.304285
Pmin_ref_seq_119,0.0,6.018727,0.0,7.820405000000001
Pmin_ref_seq_120,0.864431,0.150329,4.708623,0.148747
Pmin_ref_seq_121,0.0,3.276538,0.0,2.4534465
Pmin_ref_seq_122,50.670522,6.7049305,29.351944,4.1536015
Pmin_ref_seq_123,2.390122,6.1828955,1.9033385,1.6692125
Pmin_ref_seq_124,10.833161,15.7507485,21.0034645,12.012311
Pmin_ref_seq_125,0.0,58.9049325,0.0,151.582786
Pmin_ref_seq_126,0.148619,5.3840325,1.983001,5.799706
Pmin_ref_seq_127,0.0,7.059450999999999,0.0,9.4888755
Pmin_ref_seq_128,0.0,2.830678,1.7612885,1.6113944999999998
Pmin_ref_seq_129,0.0,10.711088,7.2549435,2.4227220000000003
Pmin_ref_seq_130,0.0,1.983967,0.0,15.798784
Pmin_ref_seq_131,138.084663,17.27756,78.4111015,13.766458
Pmin_ref_seq_132,1.489108,6.7590900000000005,5.4679485,3.318143
Pmin_ref_seq_133,0.0,15.303325,0.0,26.307604
Pmin_ref_seq_134,0.0,5.162976,0.0,0.0
Pmin_ref_seq_135,0.0,5.994719,0.0,11.658745
Pmin_ref_seq_136,0.0,2.19105,0.0,3.2615395
Pmin_ref_seq_137,0.0,42.061654,0.0,37.2962465
Pmin_ref_seq_138,1.564693,2.972073,2.7041285,2.515137
Pmin_ref_seq_139,0.0,37.4529005,0.0,24.92471
Pmin_ref_seq_140,0.0,187.8527585,0.0,292.807662
Pmin_ref_seq_141,0.0,0.0878355,0.0,2.2566925
Pmin_ref_seq_142,4.392977,0.4309435,2.1433665,0.358949
Pmin_ref_seq_143,0.0,9.9790085,0.0,27.844499
Pmin_ref_seq_144,0.0,4.824673,0.0,9.826205
Pmin_ref_seq_145,416.902599,848.0288595,98.7642245,247.2853675
Pmin_ref_seq_146,11.733545,5.6018195,11.975625,1.4998495
Pmin_ref_seq_147,0.0,1.5751865,0.0,3.4983585
Pmin_ref_seq_148,0.0,3.0146575,0.0,2.5139155
Pmin_ref_seq_149,0.0,0.6715975,3.3112495,0.306014
Pmin_ref_seq_150,0.399932,0.367245,3.902798,3.5617605
Pmin_ref_seq_151,0.0,4.501748,0.0,1.889323
Pmin_ref_seq_152,0.0,17.6501405,0.0,30.267431
Pmin_ref_seq_153,0.532052,10.4719995,5.938916000000001,5.7609805000000005
Pmin_ref_seq_154,4.925573,17.07988,26.1471135,15.5037535
Pmin_ref_seq_155,0.812959,2.647572,0.012138,0.0
Pmin_ref_seq_156,1.391396,3.393416,2.797109,2.320029
Pmin_ref_seq_157,0.088183,1.3184,2.1496515,0.4913465
Pmin_ref_seq_158,0.505714,1.9161305,10.747628,1.105007
Pmin_ref_seq_159,1.068441,1.1774735,6.355207999999999,1.3009155
Pmin_ref_seq_160,0.0,0.2310535,0.0,2.2586065
Pmin_ref_seq_161,0.0,2.8126025,0.0,4.3526015000000005
