Name,quant_12,quant_11,quant_2,quant_3,quant_4,quant_10,quant_1
Pmin_ref_seq_1,0.0,2.71096,0.0,1.784836,0.381093,2.385599,1.195397
Pmin_ref_seq_2,2.346044,3.466815,0.0,1.067777,2.422696,0.0,0.0
Pmin_ref_seq_3,111.453124,54.396193,0.0,51.37451,78.460012,0.0,0.0
Pmin_ref_seq_4,1.51216,0.95012,1.438053,2.129299,1.146078,2.59817,2.039373
Pmin_ref_seq_5,13.327069,6.230405,5.128284,4.068919,6.459579,7.689364,0.0
Pmin_ref_seq_6,0.0,0.0,0.0,2.982689,4.994829,4.560406,0.0
Pmin_ref_seq_7,115.758301,101.287015,0.0,28.155724,125.777739,0.0,0.0
Pmin_ref_seq_8,3.860399,0.086867,0.705309,0.0,0.360473,0.940926,0.0
Pmin_ref_seq_9,3.406143,4.035498,0.0,0.58643,2.29101,0.0,0.0
Pmin_ref_seq_10,5.29565,7.131593,0.0,3.323952,4.185625,0.0,0.0
Pmin_ref_seq_11,1.959485,2.733315,0.0,7.589534,2.55395,0.0,0.0
Pmin_ref_seq_12,2584.558732,1889.91477,0.0,1592.076928,3253.84099,0.0,0.0
Pmin_ref_seq_13,3.072118,0.023402,0.0,0.352778,4.265445,0.0,0.0
Pmin_ref_seq_14,1.297467,1.853954,0.574585,3.057655,1.584843,2.460554,0.321983
Pmin_ref_seq_15,2.993792,1.135641,1.638003,2.899677,1.387252,3.445382,0.197775
Pmin_ref_seq_16,3.922445,0.0,0.0,0.727412,0.986046,0.0,0.0
Pmin_ref_seq_17,20.025024,29.607454,40.447934,4.611904,4.711623,36.414314,19.524254
Pmin_ref_seq_18,0.0,0.0,0.0,99.86887,6.193025,0.0,0.0
Pmin_ref_seq_19,4.296086,5.116674,0.371413,2.301353,2.870514,7.109804,0.766387
Pmin_ref_seq_20,1.020651,4.109182,0.0,4.242381,3.453468,0.0,0.0
Pmin_ref_seq_21,0.627249,8.896145,0.108423,5.672105,29.520302,0.978646,0.0
Pmin_ref_seq_22,3.934939,0.839497,0.0,1.341988,2.054451,0.0,0.0
Pmin_ref_seq_23,2.413777,0.195793,0.0,0.946179,1.707818,0.0,0.0
Pmin_ref_seq_24,1.722831,1.09628,0.0,0.683866,4.137603,0.0,0.0
Pmin_ref_seq_25,3.455169,2.923187,4.242773,5.152703,2.488473,5.33211,6.11487
Pmin_ref_seq_26,23.411213,17.33735,0.0,22.096282,16.42407,37.502435,0.0
Pmin_ref_seq_27,167.037356,114.756115,0.0,86.368594,119.345411,0.0,0.0
Pmin_ref_seq_28,5.33143,0.0,0.0,1.329786,1.066961,0.0,0.0
Pmin_ref_seq_29,1.458303,0.840194,1.669069,2.262119,1.193685,4.458192,2.487651
Pmin_ref_seq_30,0.843656,0.924867,2.110724,1.026649,0.561099,1.325748,2.580216
Pmin_ref_seq_31,1.324989,0.763786,3.007684,1.053582,0.94554,1.527301,0.0
Pmin_ref_seq_32,13.362899,7.030844,0.0,3.930269,10.500125,0.0,0.0
Pmin_ref_seq_33,5.087278,9.622432,0.0,2.421737,3.871031,0.0,0.0
Pmin_ref_seq_34,11.623504,11.601545,3.361599,18.071628,10.717365,18.721141,2.398189
Pmin_ref_seq_35,3.277298,0.0,0.0,1.164191,1.140666,0.0,0.0
Pmin_ref_seq_36,549.995518,147.470928,0.0,77.139886,575.562893,0.0,0.0
Pmin_ref_seq_37,3.796955,2.141927,0.0,2.684559,2.243033,0.0,0.0
Pmin_ref_seq_38,0.732054,0.323816,0.0,0.069674,3.388996,0.0,0.0
Pmin_ref_seq_39,0.751555,26.397383,0.0,0.086285,0.284137,0.020861,0.0
Pmin_ref_seq_40,0.894092,0.707762,0.080227,1.046589,0.752605,4.486289,0.24462
Pmin_ref_seq_41,0.0,25.418582,0.0,0.087977,0.140456,5.221472,0.0
Pmin_ref_seq_42,0.369658,6.044015,0.956378,3.789192,1.295545,7.924497,0.206538
