	# Busco id	Status	Sequence	Score	Length
0	5951at33208	Complete	NODE_8843_length_5007_cov_122.870896_g3963_i0:4851-1	2749.2	1314.0
1	9639at33208	Duplicated	NODE_1538_length_8803_cov_19.015464_g794_i0:8682-1897	2345.0	1789.0
2	9639at33208	Duplicated	NODE_1949_length_8232_cov_46.777424_g984_i0:102-6785	2212.8	1737.0
3	13816at33208	Duplicated	NODE_248_length_13697_cov_89.088080_g134_i0:13522-4619	1953.0	1505.0
4	13816at33208	Duplicated	NODE_1531_length_8823_cov_77.885029_g792_i0:252-8543	1908.4	1539.0
5	14776at33208	Duplicated	NODE_2345_length_7816_cov_112.054888_g1061_i2:7815-734	2455.6	1755.0
6	14776at33208	Duplicated	NODE_2109_length_8056_cov_110.674183_g1061_i0:8055-997	2455.4	1755.0
7	14776at33208	Duplicated	NODE_2094_length_8078_cov_55.177889_g52_i11:40-8011	2373.5	1837.0
8	14776at33208	Duplicated	NODE_2941_length_7332_cov_80.625982_g52_i16:2894-7265	2200.9	1309.0
9	16244at33208	Complete	NODE_5400_length_6047_cov_14.671075_g2493_i0:6045-385	2198.1	1422.0
10	40200at33208	Duplicated	NODE_5513_length_6008_cov_37.357540_g2539_i0:324-4799	702.2	595.0
11	40200at33208	Duplicated	NODE_14912_length_4014_cov_15.721137_g6502_i0:3952-1445	597.9	532.0
12	40200at33208	Duplicated	NODE_18715_length_3595_cov_17.629188_g6502_i1:3533-1026	597.9	532.0
13	45934at33208	Complete	NODE_13738_length_4171_cov_12.202294_g6011_i0:113-3496	816.1	824.0
14	49474at33208	Complete	NODE_2212_length_7953_cov_89.357360_g1112_i0:153-5957	1596.2	1184.0
15	50756at33208	Complete	NODE_10661_length_4653_cov_23.308515_g4713_i0:3841-1679	234.5	571.0
16	56573at33208	Complete	NODE_5930_length_5849_cov_481.040166_g2723_i0:5836-2558	1406.9	918.0
17	57158at33208	Duplicated	NODE_15930_length_3885_cov_144.518888_g6965_i0:3813-166	1969.5	1056.0
18	57158at33208	Duplicated	NODE_6064_length_5792_cov_156.728449_g2781_i0:5626-1976	1948.0	1056.0
19	57158at33208	Duplicated	NODE_6154_length_5756_cov_155.430582_g2781_i1:5590-1940	1948.0	1056.0
20	63697at33208	Duplicated	NODE_11250_length_4550_cov_236.529596_g2667_i3:4549-959	1980.4	1003.0
21	63697at33208	Duplicated	NODE_8894_length_4996_cov_233.245988_g2667_i2:143-4141	1979.8	1003.0
22	63697at33208	Duplicated	NODE_5780_length_5906_cov_174.831819_g2667_i0:4979-959	1979.4	997.0
23	63697at33208	Duplicated	NODE_5309_length_6084_cov_239.486608_g2449_i0:382-4076	1966.0	1071.0
24	64435at33208	Complete	NODE_15936_length_3885_cov_25.624082_g6968_i0:2864-219	287.4	536.0
25	65302at33208	Duplicated	NODE_13862_length_4155_cov_58.410828_g6056_i0:79-3480	1462.8	975.0
26	65302at33208	Duplicated	NODE_17307_length_3737_cov_109.302948_g5617_i1:81-3551	1416.2	974.0
27	66018at33208	Duplicated	NODE_10076_length_4768_cov_65.491800_g4457_i0:4713-472	1577.4	869.0
28	66018at33208	Duplicated	NODE_5943_length_5845_cov_16.469335_g2732_i0:617-4822	1491.5	863.0
29	75406at33208	Duplicated	NODE_15338_length_3960_cov_242.896064_g6700_i0:560-2932	559.1	585.0
30	75406at33208	Duplicated	NODE_24117_length_3162_cov_51.779217_g10403_i0:146-2680	531.7	612.0
31	76852at33208	Complete	NODE_6471_length_5645_cov_17.300969_g2954_i0:34-4374	737.2	809.0
32	84980at33208	Duplicated	NODE_20426_length_3445_cov_266.482503_g8826_i0:3342-307	878.5	589.0
33	84980at33208	Duplicated	NODE_13872_length_4153_cov_490.124755_g6062_i0:62-3061	789.9	594.0
34	88053at33208	Complete	NODE_25238_length_3088_cov_68.434163_g10867_i0:212-2881	571.4	504.0
35	92367at33208	Complete	NODE_30063_length_2792_cov_65.781537_g12982_i0:2566-491	392.2	456.0
36	99614at33208	Complete	NODE_2903_length_7358_cov_50.390940_g1415_i0:7058-3624	825.1	934.0
37	99987at33208	Duplicated	NODE_26598_length_2992_cov_65.340528_g10020_i1:36-2891	827.0	729.0
38	99987at33208	Duplicated	NODE_23240_length_3223_cov_59.965397_g10020_i0:36-3122	826.3	690.0
39	102804at33208	Duplicated	NODE_1225_length_9333_cov_144.986717_g647_i0:112-3417	1351.8	885.0
40	102804at33208	Duplicated	NODE_1982_length_8202_cov_120.781277_g647_i1:112-3462	1351.7	885.0
41	102804at33208	Duplicated	NODE_8192_length_5165_cov_279.095444_g3693_i0:65-3121	1328.1	883.0
42	102804at33208	Duplicated	NODE_9521_length_4876_cov_297.616906_g3693_i1:65-3121	1328.1	883.0
43	103854at33208	Duplicated	NODE_18595_length_3607_cov_62.775608_g8080_i0:3292-716	566.6	639.0
44	103854at33208	Duplicated	NODE_15775_length_3905_cov_67.980950_g6899_i0:837-3308	561.8	639.0
