	# Busco id	Status	Sequence	Score	Length
0	5951at33208	Complete	rb_E2.L.8866:3086-0	1993.3	894.0
1	9639at33208	Duplicated	rb_E0.L.971847:7028-219	2336.1	1789.0
2	9639at33208	Duplicated	rb_E0.L.1163918:7961-1278	2211.1	1736.0
3	13816at33208	Duplicated	rb_E1.L.414488:167-9319	2047.8	1572.0
4	13816at33208	Duplicated	rb_E1.L.179934:167-9073	1954.4	1505.0
5	13816at33208	Duplicated	rb_E2.L.39091:8517-223	1908.4	1539.0
6	14776at33208	Duplicated	rb_E1.L.426903:11-8020	2496.4	1812.0
7	14776at33208	Duplicated	rb_E2.L.42758:23-7993	2382.4	1837.0
8	16244at33208	Complete	rb_E1.L.277052:0-5306	1958.7	1317.0
9	40200at33208	Duplicated	rb_E0.L.732251:5086-2390	713.9	521.0
10	40200at33208	Duplicated	rb_E1.L.65551:5000-525	702.5	595.0
11	40200at33208	Duplicated	rb_E1.L.217716:213-4610	701.3	595.0
12	45934at33208	Duplicated	rb_E0.L.510185:3487-104	813.2	824.0
13	45934at33208	Duplicated	rb_E0.L.545204:1-2451	752.0	626.0
14	49474at33208	Duplicated	rb_E1.L.452150:153-5897	1596.3	1184.0
15	49474at33208	Duplicated	rb_E2.L.38484:7813-1988	1596.0	1184.0
16	49474at33208	Duplicated	rb_E0.L.808590:153-5825	1523.4	1137.0
18	56573at33208	Duplicated	rb_E1.L.228890:12-3290	1406.9	918.0
19	56573at33208	Duplicated	rb_E1.L.435646:12-3290	1406.9	918.0
20	57158at33208	Duplicated	rb_E2.L.37042:3813-166	1969.5	1056.0
21	57158at33208	Duplicated	rb_E0.L.1102767:5152-1502	1948.0	1056.0
22	57158at33208	Duplicated	rb_E1.L.269777:4444-794	1948.0	1056.0
23	57158at33208	Duplicated	rb_E1.L.358643:4644-994	1948.0	1056.0
24	63697at33208	Duplicated	rb_E1.L.224606:4770-769	1979.9	1003.0
25	63697at33208	Duplicated	rb_E1.L.238749:31-4032	1979.9	1003.0
