# BUSCO version is: 5.4.7 
# The lineage dataset is: metazoa_odb10 (Creation date: 2021-02-17, number of genomes: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Score	Length
5951at33208	Complete	rb_E2.L.8866:3086-0	1993.3	894
9639at33208	Duplicated	rb_E0.L.971847:7028-219	2336.1	1789
9639at33208	Duplicated	rb_E0.L.1163918:7961-1278	2211.1	1736
13816at33208	Duplicated	rb_E1.L.414488:167-9319	2047.8	1572
13816at33208	Duplicated	rb_E1.L.179934:167-9073	1954.4	1505
13816at33208	Duplicated	rb_E2.L.39091:8517-223	1908.4	1539
14776at33208	Duplicated	rb_E1.L.426903:11-8020	2496.4	1812
14776at33208	Duplicated	rb_E2.L.42758:23-7993	2382.4	1837
16244at33208	Complete	rb_E1.L.277052:0-5306	1958.7	1317
40200at33208	Duplicated	rb_E0.L.732251:5086-2390	713.9	521
40200at33208	Duplicated	rb_E1.L.65551:5000-525	702.5	595
40200at33208	Duplicated	rb_E1.L.217716:213-4610	701.3	595
45934at33208	Duplicated	rb_E0.L.510185:3487-104	813.2	824
45934at33208	Duplicated	rb_E0.L.545204:1-2451	752.0	626
49474at33208	Duplicated	rb_E1.L.452150:153-5897	1596.3	1184
49474at33208	Duplicated	rb_E2.L.38484:7813-1988	1596.0	1184
49474at33208	Duplicated	rb_E0.L.808590:153-5825	1523.4	1137
50756at33208	Fragmented	rb_E1.L.476041:1189-23	471.8	326
56573at33208	Duplicated	rb_E1.L.228890:12-3290	1406.9	918
56573at33208	Duplicated	rb_E1.L.435646:12-3290	1406.9	918
57158at33208	Duplicated	rb_E2.L.37042:3813-166	1969.5	1056
57158at33208	Duplicated	rb_E0.L.1102767:5152-1502	1948.0	1056
57158at33208	Duplicated	rb_E1.L.269777:4444-794	1948.0	1056
57158at33208	Duplicated	rb_E1.L.358643:4644-994	1948.0	1056
63697at33208	Duplicated	rb_E1.L.224606:4770-769	1979.9	1003
63697at33208	Duplicated	rb_E1.L.238749:31-4032	1979.9	1003
63697at33208	Duplicated	rb_E1.L.269177:31-4032	1979.9	1003
63697at33208	Duplicated	rb_E1.L.453269:31-4032	1979.9	1003
63697at33208	Duplicated	rb_E2.L.5569:9991-6356	1968.4	1071
63697at33208	Duplicated	rb_E2.L.8498:351-3986	1968.4	1071
63697at33208	Duplicated	rb_E0.L.934650:2083-5595	1958.8	984
63697at33208	Duplicated	rb_E1.L.340333:3509-0	1957.6	984
64435at33208	Complete	rb_E1.L.284109:588-3233	288.7	536
65302at33208	Duplicated	rb_E1.L.142106:3875-468	1460.6	975
65302at33208	Duplicated	rb_E2.L.37280:3655-185	1413.6	974
66018at33208	Duplicated	rb_E0.L.893116:162-4403	1577.4	869
66018at33208	Duplicated	rb_E1.L.169070:1-3324	1493.0	861
75406at33208	Duplicated	rb_E2.L.30348:23-2692	558.5	585
75406at33208	Duplicated	rb_E1.L.232937:2932-398	531.7	612
76852at33208	Complete	rb_E1.L.236566:4431-1246	590.7	603
84980at33208	Duplicated	rb_E0.L.641896:169-3168	789.9	594
84980at33208	Duplicated	rb_E2.L.9467:3956-957	789.9	594
88053at33208	Complete	rb_E1.L.192138:5048-2379	571.4	504
92367at33208	Complete	rb_E1.L.70025:2537-462	392.3	456
99614at33208	Complete	rb_E1.L.249757:0-2927	972.9	787
99987at33208	Complete	rb_E1.L.224149:2955-100	825.9	729
102804at33208	Duplicated	rb_E1.L.84398:93-3443	1352.5	885
102804at33208	Duplicated	rb_E2.L.13639:5675-2370	1351.8	885
103854at33208	Duplicated	rb_E1.L.121265:4479-1903	566.5	639
103854at33208	Duplicated	rb_E0.L.829405:1052-3523	561.8	639
103854at33208	Duplicated	rb_E1.L.225559:3064-593	561.8	639
107151at33208	Complete	rb_E1.L.133365:103-2889	1304.6	783
107574at33208	Duplicated	rb_E1.L.274045:2035-119	622.0	501
107574at33208	Duplicated	rb_E1.L.257225:74-3535	551.8	595
107574at33208	Duplicated	rb_E0.L.567975:1962-151	547.6	454
108764at33208	Complete	rb_E0.L.604162:1067-3568	502.9	482
109109at33208	Duplicated	rb_E1.L.234648:219-2453	1118.6	611
109109at33208	Duplicated	rb_E0.L.1227240:293-2551	1118.5	611
109109at33208	Duplicated	rb_E2.L.19632:31-2388	1034.4	595
111730at33208	Duplicated	rb_E1.L.107678:1-1845	640.0	498
111730at33208	Duplicated	rb_E1.L.249847:4378-2423	631.7	550
111730at33208	Duplicated	rb_E1.L.260419:4425-2470	631.7	550
111746at33208	Duplicated	rb_E1.L.449542:105-2702	584.1	604
111746at33208	Duplicated	rb_E2.L.16995:3438-1021	549.7	600
114954at33208	Complete	rb_E1.L.233262:332-2104	610.7	472
115878at33208	Duplicated	rb_E0.L.710207:530-1960	513.0	331
115878at33208	Duplicated	rb_E1.L.234284:3044-1326	512.8	353
118209at33208	Duplicated	rb_E1.L.113683:117-3167	1674.5	874
118209at33208	Duplicated	rb_E1.L.244355:4004-960	1621.1	877
118209at33208	Duplicated	rb_E1.L.261471:4058-914	1621.1	877
119252at33208	Duplicated	rb_E2.L.35340:173-2260	869.8	552
119252at33208	Duplicated	rb_E0.L.606857:135-2571	823.2	551
119252at33208	Duplicated	rb_E2.L.7854:2653-563	816.5	551
119252at33208	Duplicated	rb_E2.L.25622:135-2498	797.4	555
119252at33208	Duplicated	rb_E1.L.258506:77-2092	739.9	501
119591at33208	Complete	rb_E1.L.254235:124-3765	1237.8	989
121127at33208	Complete	rb_E1.L.439057:31-2559	487.6	525
123923at33208	Complete	rb_E1.L.385952:2780-348	423.4	485
124302at33208	Complete	rb_E0.L.496204:265-3618	827.1	757
127766at33208	Duplicated	rb_E1.L.61837:141-3119	798.1	711
127766at33208	Duplicated	rb_E1.L.249214:4072-1916	796.2	572
127766at33208	Duplicated	rb_E2.L.40135:3721-905	792.1	620
129179at33208	Duplicated	rb_E1.L.224166:34-2298	842.0	578
129179at33208	Duplicated	rb_E1.L.102096:4378-2171	763.3	615
130245at33208	Duplicated	rb_E1.L.124034:4389-1993	650.0	410
130245at33208	Duplicated	rb_E1.L.320934:249-2645	617.2	434
130245at33208	Duplicated	rb_E1.L.338466:3228-832	617.2	434
130256at33208	Complete	rb_E2.L.11608:3186-814	716.7	570
131349at33208	Duplicated	rb_E2.L.39908:168-3686	1469.2	945
131349at33208	Duplicated	rb_E2.L.17566:5687-2178	1364.4	925
131848at33208	Duplicated	rb_E0.L.515161:1956-1	404.3	421
131848at33208	Duplicated	rb_E0.U.1297007:1771-1	351.2	374
132087at33208	Duplicated	rb_E2.L.24153:4404-1186	898.7	744
132087at33208	Duplicated	rb_E1.L.225290:123-3170	893.6	720
134492at33208	Duplicated	rb_E0.L.566052:3956-495	1251.8	886
134492at33208	Duplicated	rb_E2.L.40577:64-2997	1247.0	859
135294at33208	Duplicated	rb_E0.L.781746:229-2508	699.7	509
135294at33208	Duplicated	rb_E1.L.311949:223-2820	698.9	509
137383at33208	Duplicated	rb_E0.L.533173:449-2956	865.8	664
137383at33208	Duplicated	rb_E1.L.105615:160-2667	865.8	664
137383at33208	Duplicated	rb_E0.L.703245:2767-581	844.6	613
139188at33208	Duplicated	rb_E1.L.64821:3752-1443	702.5	599
139188at33208	Duplicated	rb_E0.L.698705:147-2456	702.5	599
139188at33208	Duplicated	rb_E1.L.228209:2796-559	673.0	613
143619at33208	Duplicated	rb_E1.L.69610:339-1994	369.2	318
143619at33208	Duplicated	rb_E1.L.226739:99-1676	341.3	310
143997at33208	Complete	rb_E1.L.54703:131-1873	544.5	401
146671at33208	Duplicated	rb_E1.L.223858:3522-427	922.0	679
146671at33208	Duplicated	rb_E0.L.782463:3491-427	918.1	664
146671at33208	Duplicated	rb_E1.L.168219:3801-610	894.4	718
147873at33208	Duplicated	rb_E1.L.270748:2374-356	952.9	565
147873at33208	Duplicated	rb_E2.L.10606:2753-741	888.3	564
148067at33208	Duplicated	rb_E1.L.173810:3648-340	618.9	770
148067at33208	Duplicated	rb_E1.L.224671:283-3669	537.7	737
148325at33208	Duplicated	rb_E0.L.1155824:2534-552	368.8	303
148325at33208	Duplicated	rb_E1.L.250099:2110-287	358.5	301
152327at33208	Duplicated	rb_E0.L.640412:5429-3960	539.4	376
152327at33208	Duplicated	rb_E1.L.360738:104-1969	537.6	376
152327at33208	Duplicated	rb_E1.L.224829:126-2030	499.3	363
152977at33208	Complete	rb_E0.L.657080:139-2154	605.4	493
153034at33208	Duplicated	rb_E1.L.88661:313-2199	803.2	502
153034at33208	Duplicated	rb_E1.L.232629:1630-2	684.6	439
157109at33208	Complete	rb_E1.L.167008:102-920	302.9	222
157138at33208	Complete	rb_E1.L.106008:297-2648	429.6	519
